TesPlan,Res_TestName,Analyte,Numeric_Result,Res_Units,Rounding_Rule,Low_Release_Limit,High_Release_Limit,METHOD
4CU12501/BL_MedWipe_04A,% Dual Quat,Quat,,%,"FDA,2",0.48,0.56,TM 234/TM 434
4CU12501/BL_NY_BackSpin Wipe_04,Specific Gravity at 25�C,SG,,NULL,"FDA,3",0.887,0.897,TM 202
4CU12501/BL_Basis MUR_01,pH as is,pH,,NULL,"FDA,1",6.3,8.5,TM 200
4CU12501/BL_Sani_07C,% Isopropyl Alcohol W/W,IPA,,%,"FDA,2",54.5,56.7,TM 234/TM 323
4CU12501/BL_MedWipe_04A,% Isopropyl Alcohol W/W,IPA_Final,,%,"FDA,2",54.5,56.7,TM 234/TM 323
4CU12501/BL_MedWipe_04A,% Isopropyl Alcohol W/W,IPA,,%,"FDA,2",54.5,56.7,TM 234/TM 323
4CU12501/BL_Basis MUR_01,"% Germall, Methylparaben & Propylparaben",Methylparaben_Final,,%,"FDA,2",0.17,0.23,TM 321
4CU12501/BL_Basis MUR_01,"% Germall, Methylparaben & Propylparaben",Methylparaben,,%,"FDA,2",0.17,0.23,TM 321
4CU12501/BL_Basis MUR_01,"% Germall, Methylparaben & Propylparaben",Propylparaben,,%,"FDA,3",0.017,0.023,TM 321
4CU12501/BL_Basis MUR_01,"% Germall, Methylparaben & Propylparaben",Propylparaben_Final,,%,"FDA,3",0.017,0.023,TM 321
4CU12501/BL_Basis MUR_01,"% Germall, Methylparaben & Propylparaben",Germall,,%,"FDA,2",0.18,0.22,TM 321
4CU12501/BL_Basis MUR_01,"% Germall, Methylparaben & Propylparaben",Germall_Final,,%,"FDA,2",0.18,0.22,TM 321
4DA16001/BL_Basis MUR_01,"% Germall, Methylparaben & Propylparaben",Methylparaben,,%,"FDA,2",0.17,0.23,TM 321
4DA16001/BL_Basis MUR_01,"% Germall, Methylparaben & Propylparaben",Germall_Final,,%,"FDA,2",0.18,0.22,TM 321
4DA16001/BL_Basis MUR_01,"% Germall, Methylparaben & Propylparaben",Germall,,%,"FDA,2",0.18,0.22,TM 321
4DA16001/BL_Basis MUR_01,"% Germall, Methylparaben & Propylparaben",Propylparaben,,%,"FDA,3",0.017,0.023,TM 321
4DA16001/BL_MedWipe_04A,"% Germall, Methylparaben & Propylparaben",Propylparaben_Final,,%,"FDA,3",0.017,0.023,TM 321
4DA16001/BL_MedWipe_04A,"% Germall, Methylparaben & Propylparaben",Methylparaben_Final,,%,"FDA,2",0.17,0.23,TM 321
4DA16001/BL_NY_Bleach_01A(Bleach-chlorine_Colorless_Clear),pH as is,pH,,NULL,"FDA,2",5.1,5.8,TM 200
4FM10201/BL_Baby_01A,% Bronopol & IPBC,Bronopol,,%,"FDA,3",0.08,0.12,TM 321
4FM10201/BL_Baby_01A,% Bronopol & IPBC,Bronopol_Final,,%,"FDA,3",0.08,0.12,TM 321
4FM10201/BL_Baby_01A,% Bronopol & IPBC,IPBC,,%,"FDA,3",0.01,0.023,TM 321
4FM10201/BL_Baby_01A,% Bronopol & IPBC,IPBC_Final,,%,"FDA,3",0.01,0.023,TM 321
4FM10201/BL_NY_AntiBac_01D,% Bronopol & IPBC,Bronopol,,%,"FDA,3",0.08,0.12,TM 321
4FM10201/BL_NY_AntiBac_01D,pH as is,pH,,NULL,"FDA,2",5.1,5.4,TM 200
4FQ51801/BL_MedWipe_04A,Specific Gravity at 25�C,SG,,NULL,"FDA,3",0.991,1.001,TM 202
4FQ51801/BL_NY_Sodium Hydroxide 30%,% Sodium Hydroxide,Sodium_Hydroxide,,%,"FDA,1",29,31,TM 307
4FQ51801/BL_NY_Sodium Hydroxide 30%,% Sodium Hydroxide,Sodium_Hydroxide_Final,,%,"FDA,1",29,31,TM 307
4FQ51801/BL_NY_Sani-cloth prime_01,% Isopropyl Alcohol W/W,IPA,,%,"FDA,2",54.5,56.7,TM 234/TM 323
4FQ51801/BL_NY_AntiBac_01D,% Isopropyl Alcohol W/W,IPA,,%,"FDA,2",54.5,56.7,TM 234/TM 323
4FQ51801/BL_Sani_01B,Specific Gravity at 25�C,SG,,NULL,"FDA,3",0.878,0.888,TM 202
4FQ51801/BL_NY_Sodium Hydroxide 30%,% Ethyl Alcohol (V/V),Ethyl_Alcohol,,%,"FDA,1",66.5,73.5,TM 314
4FQ51801/BL_NY_Sodium Hydroxide 30%,% Ethyl Alcohol (V/V),Ethyl_Alcohol_Final,,%,"FDA,1",66.5,73.5,TM 314
4OA70901/BL_NY_MedWipe_04AA,Specific Gravity at 25�C,SG,,NULL,"FDA,2",0.95,1.05,TM 202
4OA70901/BL_MedWipe_04A,% Witch Hazel wt/wt,Witch_Hazel_Final,,%,"FDA,1",45,55,NPTM3000/NPTM314
4OA70901/BL_MedWipe_04A,% Witch Hazel wt/wt,Witch_Hazel,,% w/w,"FDA,1",45,55,NPTM3000/NPTM314
4OA70901/BL_NY_MedWipe_04AA,% Witch Hazel wt/wt,Witch_Hazel,,% w/w,"FDA,1",45,55,NPTM3000/NPTM314
4OA70901/BL_NY_MedWipe_04AA,pH as is,pH,,NULL,"FDA,1",4,5,TM 200
4OA70901/BL_MedWipe_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Propylparaben,,% w/w,"FDA,3",0.04,0.06,TM 321C
4OA70901/BL_MedWipe_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Diazolidinyl_Urea_Final,,% w/w,"FDA,3",0.16,0.24,TM 321C
4OA70901/BL_MedWipe_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Propylparaben_Final,,% w/w,"FDA,3",0.04,0.06,TM 321C
4OA70901/BL_MedWipe_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Diazolidinyl_Urea,,% w/w,"FDA,3",0.16,0.24,TM 321C
4OA70901/BL_MedWipe_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Methylparaben,,% w/w,"FDA,3",0.16,0.24,TM 321C
4OA70901/BL_NY_Baby Dove Rich Moisture_01,% Diazolidinyl Urea & Methylparaben & Propylparabe,Propylparaben,,% w/w,"FDA,3",0.04,0.06,TM 321C
4OA70901/BL_NY_Baby Dove Rich Moisture_01,% Diazolidinyl Urea & Methylparaben & Propylparabe,Methylparaben_Final,,% w/w,"FDA,3",0.16,0.24,TM 321C
4OB16401/BL_NY_Sodium Hydroxide 30%,% Sodium Hydroxide,Sodium_Hydroxide,,%,"FDA,1",29,31,TM 307
4OB16401/BL_NY_Sodium Hydroxide 30%,% Sodium Hydroxide,Sodium_Hydroxide_Final,,%,"FDA,1",29,31,TM 307
4OD30201/BL_Misc_03C,Specific Gravity at 25�C,SG,,NULL,"FDA,3",0.948,0.958,TM 202
4OD36501/BL_NY_Cetaphil_01B,Specific Gravity at 25�C,SG,,NULL,"FDA,3",0.948,0.958,TM 202
4OM30401/BL_NY_Bleach_01A(Bleach-chlorine_Colorless_Clear),% Dual Quat,Quat,,%,"FDA,2",0.51,0.53,TM 434/1004
4OM30401/BL_Sani_08I,pH as is,pH,,NULL,"FDA,2",11.75,13.25,TM 200
4OM30401/BL_NY_Bleach_01A(Bleach-chlorine_Colorless_Clear),% Bleach,% Bleach,,%,"FDA,2",0.97,1.17,TM 366
4OM30401/BL_NY_Bleach_01A(Bleach-chlorine_Colorless_Clear),% Bleach,% Bleach Final,,%,"FDA,2",0.97,1.17,TM 366
4OM30401/BL_NY_Bleach_01A(Bleach-chlorine_Colorless_Clear),Specific Gravity at 25�C,SG,,NULL,"FDA,3",0.927,1.127,TM 202
4OP07501/BL_NY_Cetaphil_01A(Unscented_White-Off-White_Milky-Liquid),pH as is,pH,,NULL,"FDA,1",6,6.5,TM 200
4OP07501/BL_NY_Cetaphil_01A(Unscented_White-Off-White_Milky-Liquid),% Bronopol & IPBC,IPBC_Final,,%,"FDA,3",0.012,0.018,TM 391
4OP07501/BL_NY_Cetaphil_01A(Unscented_White-Off-White_Milky-Liquid),% Bronopol & IPBC,Bronopol,,%,"FDA,3",0.08,0.12,TM 391
4OP07501/BL_NY_Cetaphil_01A(Unscented_White-Off-White_Milky-Liquid),% Bronopol & IPBC,IPBC,,%,"FDA,3",0.012,0.018,TM 391
4OP07501/BL_NY_Cetaphil Gentle MUR,% Bronopol & IPBC,IPBC,,%,"FDA,3",0.012,0.018,TM 391
4OP07501/BL_NY_Cetaphil Gentle MUR,% Bronopol & IPBC,Bronopol_Final,,%,"FDA,3",0.08,0.12,TM 391
4OP25301/BL_Sani_07C,% Dual Quat,Quat_Final,,%,"FDA,2",0.48,0.56,TM 234/TM 434
4OP25301/BL_NY_Sani-cloth prime_01,% Dual Quat,Quat,,%,"FDA,2",0.48,0.56,TM 234/TM 434
4OP25301/BL_NY_Sani-cloth prime_01,Specific Gravity at 25�C,SG,,NULL,"FDA,3",0.887,0.897,TM 202
4OP25301/BL_NY_Sani-cloth prime_01,% Isopropyl Alcohol W/W,IPA,,%,"FDA,2",54.5,56.7,TM 234/TM 323
4OP25301/BL_MUR_04A,% Isopropyl Alcohol W/W,IPA_Final,,%,"FDA,2",54.5,56.7,TM 234/TM 323
4OP25301/BL_MUR_04A,% Isopropyl Alcohol W/W,IPA,,%,"FDA,2",54.5,56.7,TM 234/TM 323
4OP34501/BL_MUR_04A,pH,pH,,NULL,"FDA,1",5,6,TM 200
4OP34501/BL_NY_BZK AntiBac_02,Specific Gravity at 25�C,SG,,NULL,"FDA,4",0.975,1.015,TM 202
4OP35101/BL_NY_BZK AntiBac_02,Specific Gravity at 25�C,SG,,NULL,"FDA,4",0.975,1.015,TM 202
4OP35101/BL_Sani_08I,pH,pH,,NULL,"FDA,1",5,6,TM 200
4OP38301/BL_Sani_11A,% Dual Quat,Quat_Final,,%,"FDA,2",0.32,0.34,TM 434
4OP38301/BL_Sani_11A,% Dual Quat,Quat,,%,"FDA,2",0.32,0.34,TM 434
4OP38301/BL_Sani_08I,% Dual Quat,Quat,,%,"FDA,2",0.32,0.34,TM 434
4OP38301/BL_AntiBac_01D,pH as is,pH,,NULL,"FDA,2",5,7.5,TM 200
4OP63801/BL_Sani_08H,% Benzoic Acid & Phenoxyethanol,Phenoxyethanol,,%,"FDA,2",0.5,0.69,J&J TM-003725
4OP63801/BL_Sani_08H,% Benzoic Acid & Phenoxyethanol,Benzoic_Acid_Final,,%,"FDA,3",0.029,0.041,J&J TM-003725
4OP63801/BL_NEUT_05C,% Benzoic Acid & Phenoxyethanol,Benzoic_Acid,,%,"FDA,3",0.029,0.041,J&J TM-003725
4OP63801/BL_NEUT_05C,% Benzoic Acid & Phenoxyethanol,Phenoxyethanol,,%,"FDA,2",0.5,0.69,J&J TM-003725
4OP63801/BL_Sani_08I,% Benzoic Acid & Phenoxyethanol,Phenoxyethanol_Final,,%,"FDA,2",0.5,0.69,J&J TM-003725
4OP63801/BL_Sani_08I,% Benzoic Acid & Phenoxyethanol,Benzoic_Acid,,%,"FDA,3",0.029,0.041,J&J TM-003725
4OP63801/BL_Sani_08I,pH as is,pH,,NULL,"FDA,2",5,7.5,TM 200
4OP63801/BL_NY_BackSpin Wipe_03,pH as is,pH,,NULL,"FDA,1",4.7,5.7,TM WW78014
4OP63801/BL_Sani_08H,% Dual Quat,Quat,,%,"FDA,2",0.32,0.34,TM 434
4OP63801/BL_Sani_11A,% Dual Quat,Quat,,%,"FDA,2",0.32,0.34,TM 434
4OP63801/BL_Sani_08H,% Dual Quat,Quat_Final,,%,"FDA,2",0.32,0.34,TM 434
4OP70501/BL_NY_Cetaphil_01A(Unscented_White-Off-White_Milky-Liquid),pH as is,pH,,NULL,"FDA,1",6,6.5,TM 200
4OP70501/BL_NY_Cetaphil_01A(Unscented_White-Off-White_Milky-Liquid),% Bronopol & IPBC,Bronopol,,%,"FDA,3",0.08,0.12,TM 391
4OP70501/BL_NY_Cetaphil_01A(Unscented_White-Off-White_Milky-Liquid),% Bronopol & IPBC,IPBC_Final,,%,"FDA,3",0.012,0.018,TM 391
4OP70501/BL_NY_Cetaphil_01A(Unscented_White-Off-White_Milky-Liquid),% Bronopol & IPBC,IPBC,,%,"FDA,3",0.012,0.018,TM 391
4OP70501/BL_NY_L'Oreal Paris - Revitalift  MUR,% Bronopol & IPBC,IPBC,,%,"FDA,3",0.012,0.018,TM 391
4OP70501/BL_NY_L'Oreal Paris - Revitalift  MUR,% Bronopol & IPBC,Bronopol_Final,,%,"FDA,3",0.08,0.12,TM 391
4OP72301/BL_Sani_01B,% Propylparaben,Final Propylparaben,,%,"FDA,3",0.02,0.028,TM 396
4OP72301/BL_Sani_01B,% Propylparaben,Propylparaben,,%,"FDA,3",0.02,0.028,TM 396
4OP72301/BL_Sani_07C,Specific Gravity at 25�C,SG,,NULL,"FDA,3",0.887,0.897,TM 202
4OP72301/BL_NY_Cetaphil_01B,% Dual Quat,Quat,,%,"FDA,2",0.48,0.56,TM 234/TM 434
4OP72301/BL_NY_Cetaphil_01B,% Methylparaben,Final Methylparaben,,%,"FDA,3",0.135,0.195,TM 396
4OP72301/BL_Sani_07C,% Methylparaben,Methylparaben,,%,"FDA,3",0.135,0.195,TM 396
4OP72301/BL_NY_Cetaphil_01B,% Phenoxyethanol,Phenoxyethanol Final,,%,"FDA,2",0.37,0.45,TM 396
4OP72301/BL_NY_Cetaphil_01B,% Phenoxyethanol,Phenoxyethanol,,%,"FDA,2",0.37,0.45,TM 396
4OP72301/BL_Sani_07C,% Phenoxyethanol,Phenoxyethanol,,%,"FDA,2",0.37,0.45,TM 396
4OP72301/BL_Sani_07C,pH as is,pH,,NULL,"FDA,2",6,6.5,TM 200
4OP72301/BL_NY_Cetaphil_01B,% Isopropyl Alcohol W/W,IPA,,%,"FDA,2",54.5,56.7,TM 234/TM 323
4OX11001/,Specific Gravity at 25�C,SG,,NULL,"FDA,3",1.043,1.055,TM 202
4OX12401/,% Isopropyl Alcohol W/W,IPA_Final,,%,"FDA,2",54.5,56.7,TM 234/TM 323
4OX12401/,% Isopropyl Alcohol W/W,IPA,,%,"FDA,2",54.5,56.7,TM 234/TM 323
4OX12401/,% Diazolidinyl Urea & Methylparaben & Propylparabe,Diazolidinyl_Urea_Final,,% w/w,"FDA,3",0.16,0.24,TM 321C
4OX12401/,% Diazolidinyl Urea & Methylparaben & Propylparabe,Propylparaben_Final,,% w/w,"FDA,3",0.04,0.06,TM 321C
4OX12401/,% Diazolidinyl Urea & Methylparaben & Propylparabe,Methylparaben,,% w/w,"FDA,3",0.16,0.24,TM 321C
4OX12401/,% Diazolidinyl Urea & Methylparaben & Propylparabe,Propylparaben,,% w/w,"FDA,3",0.04,0.06,TM 321C
4OX12401/,% Diazolidinyl Urea & Methylparaben & Propylparabe,Diazolidinyl_Urea,,% w/w,"FDA,3",0.16,0.24,TM 321C
4OX12401/,% Diazolidinyl Urea & Methylparaben & Propylparabe,Methylparaben_Final,,% w/w,"FDA,3",0.16,0.24,TM 321C
4OX12401/,Specific Gravity at 25�C,SG,,NULL,"FDA,2",0.95,1.05,TM 202
4OX12401/,Specific Gravity at 25�C,SG,,NULL,"FDA,3",0.887,0.897,TM 202
4OX12401/,% Witch Hazel wt/wt,Witch_Hazel_Final,,%,"FDA,1",45,55,NPTM3000/NPTM314
4OX12401/,% Witch Hazel wt/wt,Witch_Hazel,,% w/w,"FDA,1",45,55,NPTM3000/NPTM314
4OX12401/,% Dual Quat,Quat,,%,"FDA,2",0.48,0.56,TM 234/TM 434
4OX12401/,% Dual Quat,Quat_Final,,%,"FDA,2",0.48,0.56,TM 234/TM 434
4OX12401/,pH as is,pH,,NULL,"FDA,1",4,5,TM 200
4OX12401/,pH as is,pH,,NULL,"FDA,1",6.3,8.5,TM 200
4OX41101/,Specific Gravity at 25�C,SG,,NULL,"FDA,3",1.043,1.055,TM 202
4AP19701/BL_NY_Unilever Simple Core Cleansing_02,Chemical Inspection,Color (TM 208),Off-White (Done),,,,,TM 208
4OP19701/BL_NY_Unilever Simple Core Cleansing_01,Chemical Inspection,Color (TM 208),Off-White (Done),,,,,TM 208
4AP19701/BL_NY_Unilever Simple Core Cleansing_02,Chemical Inspection,Appearance (TM 208),Opalescent Liquid (Done),,,,,TM 208
4OP19701/BL_NY_Unilever Simple Core Cleansing_01,Chemical Inspection,Appearance (TM 208),Opalescent Liquid (Done),,,,,TM 208
4AB1110M/Chem_206A,Chemical Inspection,Appearance (TM 208),Opaque Liquid (Done),,,,,TM208/220/230/USP/Kao LM
4OP07501/BL_NY_L'Oreal Paris - Revitalift  MUR,Visual Inspection,Appearance,Opaque Liquid (Done),,,,,TM 208
4OP11301/BL_NY_L'Oreal Garnier Refreshing MUR,Visual Inspection,Appearance,Opaque Liquid (Done),,,,,TM 208
4OP22701/BL_NY_L'Oreal Garnier Micellar Water,Visual Inspection,Appearance,Opaque Liquid (Done),,,,,TM 208
4OY11001/,Chemical Inspection,Color (TM 208),Pale Yellow (Done),,,,,TM208/220/230/USP/Kao LM
4AP34501/BL_MUR_04AA,Phenoxyethanol,Phenoxyethanol,Positive (Done),,,,,TM 394
4AP34501/BL_MUR_04AA,Benzoic Acid / Dehydroacetic Acid,Benzoic Acid/Dehydroacetic Acid,Positive (Done),,,,,TM 394
4AP34501/BL_MUR_04AA,DISODIUM_EDTA,DISODIUM_EDTA,Positive (Done),,,,,APAM4.032/Quantofix Strip
4OP20301/BL_NY_Avon Solutions,DISODIUM_EDTA,DISODIUM_EDTA,Positive (Done),,,,,APAM 4.032
4OP20301/BL_NY_L'Oreal Garnier Micellar Water,% Diazolidnyl Urea,Diazolidinyl_Urea_(Qual),Positive (Done),,,,,TM 321C
4OP20301/BL_NY_L'Oreal Garnier Micellar Water,Cationic and Anionic Surfactants,Cocoamidopropyl Dimonium Chloride Phosphate (Qual),Positive (Done),,,,,APAM 4.030
4OX60101/,Visual Inspection,Odor,Pungent (Done),,,,,TM 208
4OP07501/BL_NY_L'Oreal Paris - Revitalift  MUR,Visual Inspection,Odor,Scented-Characteristic (Done),,,,,TM 208
4OP11301/BL_NY_L'Oreal Garnier Refreshing MUR,Visual Inspection,Odor,Scented-Characteristic (Done),,,,,TM 208
4APER02/BL_NY_Grime Boss_02,Visual Inspection,Appearance,"Thin, Opaque liquid (Done)",,,,,TM 208
4OJ12301/BL_NY_Cetaphil_01B,Visual Inspection,Appearance,"Thin, Opaque liquid (Done)",,,,,TM 208
4OJ12301/BL_Sani_08I,Visual Inspection,Appearance,"Thin, Opaque liquid (Done)",,,,,TM 208
4OP08701/BL_NY_Cetaphil Gentle MUR,Visual Inspection,Appearance,"Thin, Opaque liquid (Done)",,,,,TM 208
4ABBY23/BL_NY_Natural Baby w/Vit E,Visual Inspection,Odor,Unscented (Done),,,,,TM 208
4OJ12301/BL_NY_Cetaphil_01B,Visual Inspection,Odor,Unscented (Done),,,,,TM 208
4OP08701/BL_NY_Cetaphil Gentle MUR,Visual Inspection,Odor,Unscented (Done),,,,,TM 208
4OP08701/BL_NY_Noxzema Pads _01,Visual Inspection,Odor,Unscented (Done),,,,,TM 208
4OP22701/BL_NY_L'Oreal Garnier Micellar Water,Visual Inspection,Odor,Unscented-Characteristic (Done),,,,,TM 208
4AB1110M/Chem_206A,Chemical Inspection,Color (TM 208),White (Done),,,,,TM208/220/230/USP/Kao LM
4OJ12301/BL_NY_Cetaphil_01B,Visual Inspection,Color,White (Done),,,,,TM 208
4APER02/BL_NY_Prep H Pain Relief Wipes,Visual Inspection,Color,White to Off-White (Done),,,,,TM 208
4OP07501/BL_NY_L'Oreal Paris - Revitalift  MUR,Visual Inspection,Color,White to off-white Liquid (Done),,,,,TM 208
4OP08701/BL_NY_Cetaphil Gentle MUR,Visual Inspection,Color,White to off-white Liquid (Done),,,,,TM 208
4OP08701/NY-Microbiology celsis rapid,Visual Inspection,Color,White to off-white Liquid (Done),,,,,TM 208
4OP11301/BL_NY_L'Oreal Garnier Refreshing MUR,Visual Inspection,Color,White to off-white Liquid (Done),,,,,TM 208
4OP22701/BL_NY_L'Oreal Garnier Micellar Water,Visual Inspection,Color,White to off-white Liquid (Done),,,,,TM 208
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
