Mat_MatCode,SP_TestPlan,Test_Lab,Analyte,Component,Numeric_Result,Res_Units,Rounding_Rule,Low_Release_Limit,High_Release_Limit,METHOD
2OP159LI,Lid_03B,NY-Analytical,Lid Inspection,Cap Thickness,,in,"FDA,3",0.045,0.055,TM143
2OP159LI,Lid_03B,NY-Analytical,Lid Inspection,Insert Fin Gap,,in,"FDA,3",0.065,0.075,TM143
2OP159LI,Lid_03B,NY-Analytical,Lid Inspection,Pop-Up Hole Outer Diameter,,in,"FDA,3",0.16,0.17,TM143
2OP159LI,Lid_03B,NY-Analytical,Lid Inspection,Overall Lid Height,,in,"FDA,3",1.472,1.492,TM143
2OP159LI,Lid_03B,NY-Analytical,Lid Inspection,Bead Diameter,,in,"FDA,3",4.847,4.867,TM143
2OP159LI,Lid_03B,NY-Analytical,Lid Inspection,Lid Inside Diameter,,in,"FDA,3",4.922,4.932,TM143
2OP159LI,Lid_03B,NY-Analytical,Lid Inspection,Weight,,g,"FDA,1",32,42,TM143
2OP159LI,Lid_03B,NY-Analytical,Lid Inspection,Appearance,Appearance Material is clean and free of particulate matter.  (Done),,,,,TM208
2OP159LI,Lid_03B,NY-Analytical,Lid Inspection,Color,Blue (Done),,,,,TM208
2OP159LI,Lid_03B,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2OP159LI,Lid_03B,NY-Analytical,Lid Inspection,Odor,None detectable (Done),,,,,TM208
2OP159LI,Lid_03B,NY-Analytical,Lid Inspection,Functionality,Pass (Done),,,,,TM208
2OP213,Web_NP8541_11,NY-Analytical,Web Thickness,Thickness,,mm,"FDA,3",0.074,0.094,TM 132
2OP213,Web_NP8541_11,NY-Analytical,Web Measurement,Web Width,,in,"FDA,4",10.9375,11.0625,TM143
2OP213,Web_NP8541_11,NY-Analytical,Basis Weight,Basis Weight,,GSM,"FDA,1",74.3,90.9,TM 101
2OP213,Web_NP8541_11,NY-Analytical,Seal Strength,Seal Strength (130°C/0.5 sec/1 bar),,g/in,"FDA,0",1000,,TM107
2OP213,Web_NP8541_11,NY-Analytical,Visual Inspection,Barcode Legibility/Quality,Barcode should scan and code should be matched under the barcode  (Done),,,,,TM208
2OP213,Web_NP8541_11,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2OP213,Web_NP8541_11,NY-Analytical,Visual Inspection,Appearance,Meets specifications (Done),,,,,TM208
2OP213,Web_NP8541_11,NY-Analytical,Visual Inspection,Color/Copy,Meets specifications (Done),,,,,TM208
2OP223,Web_NP8511_320,NY-Analytical,Visual Inspection,Artwork / Copy,Sample(s) all meet specifications (Done),,,,,TM208
2OP242LI,Lid_17C,NY-Analytical,Lid Inspection,Orifice Flap Thickness,,in,"FDA,3",0.017,0.023,TM143
2OP242LI,Lid_17C,NY-Analytical,Lid Inspection,Lid Wall Thickness,,in,"FDA,3",0.035,0.045,TM143
2OP242LI,Lid_17C,NY-Analytical,Lid Inspection,Orifice Diameter,,in,"FDA,3",0.62,0.63,TM143
2OP242LI,Lid_17C,NY-Analytical,Flip Lid Force,Flip Lid Force,,lb,"FDA,2",0.75,,TM 143
2OP242LI,Lid_17C,NY-Analytical,Lid Inspection,Overall Lid Height,,in,"FDA,3",1.472,1.492,TM143
2OP242LI,Lid_17C,NY-Analytical,Lid Inspection,Bead Diameter,,in,"FDA,3",4.831,4.851,TM143
2OP242LI,Lid_17C,NY-Analytical,Lid Inspection,Weight,,g,"FDA,1",32.5,41.5,TM143
2OP242LI,Lid_17C,NY-Analytical,Lid Inspection,Functionality - Cap Closure,Cap of lid,,,,,TM208
2OP242LI,Lid_17C,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2OP242LI,Lid_17C,NY-Analytical,Lid Inspection,Functionality - Lid Fit,Lid fits with a tight seal on,,,,,TM208
2OP242LI,Lid_17C,NY-Analytical,Lid Inspection,Appearance,Meets Specifications (Done),,,,,TM208
2OP242LI,Lid_17C,NY-Analytical,Lid Inspection,Odor,None detectable (Done),,,,,TM208
2OP242LI,Lid_17C,NY-Analytical,Lid Inspection,Color,Translucent Plum (Done),,,,,TM208
2OP280LI,Lid_17A,NY-Analytical,Lid Inspection,Lid Wall Thickness,,in,"FDA,3",0.035,0.045,TM143
2OP280LI,Lid_17A,NY-Analytical,Lid Inspection,Orifice Flap Thickness,,in,"FDA,3",0.03,0.04,TM143
2OP280LI,Lid_17A,NY-Analytical,Lid Inspection,Orifice Diameter,,in,"FDA,3",1.468,1.478,TM143
2OP280LI,Lid_17A,NY-Analytical,Lid Inspection,Overall Lid Height,,in,"FDA,3",1.472,1.492,TM143
2OP280LI,Lid_17A,NY-Analytical,Flip Lid Force,Flip Lid Force,,lb,"FDA,2",0.75,,TM 143
2OP280LI,Lid_17A,NY-Analytical,Lid Inspection,Bead Diameter,,in,"FDA,3",4.831,4.851,TM143
2OP280LI,Lid_17A,NY-Analytical,Lid Inspection,Weight,,g,"FDA,1",36,42,TM143
2OP280LI,Lid_17A,NY-Analytical,Lid Inspection,Functionality - Cap Closure,Cap of lid,,,,,TM208
2OP280LI,Lid_17A,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2OP280LI,Lid_17A,NY-Analytical,Lid Inspection,Functionality - Lid Fit,Lid fits with a tight seal on,,,,,TM208
2OP280LI,Lid_17A,NY-Analytical,Lid Inspection,Appearance,Meets Specifications (Done),,,,,TM208
2OP280LI,Lid_17A,NY-Analytical,Lid Inspection,Odor,None detectable (Done),,,,,TM208
2OP280LI,Lid_17A,NY-Analytical,Lid Inspection,Color,Translucent Orange (Done),,,,,TM208
2OP300LI,Lid_13E,NY-Analytical,Lid Inspection,Orifice Flap Thickness,,in,"FDA,3",0.03,0.04,TM143
2OP300LI,Lid_13E,NY-Analytical,Lid Inspection,Lid Wall Thickness,,in,"FDA,3",0.035,0.045,TM143
2OP300LI,Lid_13E,NY-Analytical,Lid Inspection,Insert Fin Gap,,in,"FDA,3",0.07,0.08,TM143
2OP300LI,Lid_13E,NY-Analytical,Lid Inspection,End Circle Diameter,,in,"FDA,3",0.12,0.13,TM143
2OP300LI,Lid_13E,NY-Analytical,Lid Inspection,Center to Center Distance,,in,"FDA,3",0.445,0.455,TM143
2OP300LI,Lid_13E,NY-Analytical,Flip Lid Force,Flip Lid Force,,lb,"FDA,2",0.75,,TM 148
2OP300LI,Lid_13E,NY-Analytical,Lid Inspection,Overall Lid Height,,in,"FDA,3",1.472,1.492,TM143
2OP300LI,Lid_13E,NY-Analytical,Lid Inspection,Bead Diameter,,in,"FDA,3",4.847,4.867,TM143
2OP300LI,Lid_13E,NY-Analytical,Lid Inspection,Weight,,g,"FDA,1",32,42,TM143
2OP300LI,Lid_13E,NY-Analytical,Lid Inspection,Appearance,Appearance Material is clean and free of particulate matter.  (Done),,,,,TM208
2OP300LI,Lid_13E,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2OP300LI,Lid_13E,NY-Analytical,Lid Inspection,Odor,None detectable (Done),,,,,TM208
2OP300LI,Lid_13E,NY-Analytical,Lid Inspection,Functionality,Pass (Done),,,,,TM208
2OP300LI,Lid_13E,NY-Analytical,Lid Inspection,Color,Translucent Blue (Done),,,,,TM208
2OP435LI,Lid_04C_560,NY-Analytical,Lid Inspection,Pop-Up Hole Thicknes,,in,"FDA,3",0.015,0.025,TM143
2OP435LI,Lid_04C_560,NY-Analytical,Lid Inspection,Lid Wall Thickness,,in,"FDA,3",0.04,0.05,TM143
2OP435LI,Lid_04C_560,NY-Analytical,Lid Inspection,Cap Thickness,,in,"FDA,3",0.147,0.157,TM143
2OP435LI,Lid_04C_560,NY-Analytical,Lid Inspection,Pop-Up Hole Outer Diameter,,in,"FDA,3",0.555,0.565,TM143
2OP435LI,Lid_04C_560,NY-Analytical,Lid Inspection,Overall Lid Height,,in,"FDA,3",1.473,1.493,TM143
2OP435LI,Lid_04C_560,NY-Analytical,Lid Inspection,Lid Inside Diameter,,in,"FDA,3",3.76,3.77,TM143
2OP435LI,Lid_04C_560,NY-Analytical,Lid Inspection,Weight,,g,"FDA,1",20,24,TM143
2OP435LI,Lid_04C_560,NY-Analytical,Lid Inspection,Appearance,Appearance Material is clean and free of particulate matter.  (Done),,,,,TM208
2OP435LI,Lid_04C_560,NY-Analytical,Certificate of Compliance,Certificate of Compliance,CofC meets specifications (Done),,,,,COA
2OP435LI,Lid_04C_560,NY-Analytical,Lid Inspection,Odor,None detectable (Done),,,,,TM208
2OP435LI,Lid_04C_560,NY-Analytical,Lid Inspection,Functionality,Pass (Done),,,,,TM208
2OP435LI,Lid_04C_560,NY-Analytical,Lid Inspection,Color,Translucent Purple (Done),,,,,TM208
2OP630,Web_NP8440_310,NY-Analytical,Web Thickness,Web Thickness ,,mil,"FDA,0",2.64,3.36,TM 132
2OP630,Web_NP8440_310,NY-Analytical,Basis Weight,Basis Weight,,#/Ream,"FDA,2",44.88,57.12,TM 101
2OP630,Web_NP8440_310,NY-Analytical,Web Measurement,Web Width,,mm,"FDA,0",308,312,TM143
2OP630,Web_NP8440_310,NY-Analytical,Seal Strength,Seal Strength (300°F/30psi/1.5 sec dwell),,g/in,"FDA,0",3500,,TM107
2OP630,Web_NP8440_310,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2OP638LI,Lid_13D,NY-Analytical,Lid Inspection,Orifice Flap Thickness,,in,"FDA,3",0.03,0.04,TM143
2OP638LI,Lid_13D,NY-Analytical,Lid Inspection,Lid Wall Thickness,,in,"FDA,3",0.035,0.045,TM143
2OP638LI,Lid_13D,NY-Analytical,Lid Inspection,Insert Fin Gap,,in,"FDA,3",0.07,0.08,TM143
2OP638LI,Lid_13D,NY-Analytical,Lid Inspection,End Circle Diameter,,in,"FDA,3",0.12,0.13,TM143
2OP638LI,Lid_13D,NY-Analytical,Lid Inspection,Center to Center Distance,,in,"FDA,3",0.445,0.455,TM143
2OP638LI,Lid_13D,NY-Analytical,Lid Inspection,Overall Lid Height,,in,"FDA,3",1.472,1.492,TM143
2OP638LI,Lid_13D,NY-Analytical,Flip Lid Force,Flip Lid Force,,lb,"FDA,2",0.75,,TM 148
2OP638LI,Lid_13D,NY-Analytical,Lid Inspection,Bead Diameter,,in,"FDA,3",4.847,4.867,TM143
2OP638LI,Lid_13D,NY-Analytical,Lid Inspection,Lid Inside Diameter,,in,"FDA,3",4.917,4.937,TM143
2OP638LI,Lid_13D,NY-Analytical,Lid Inspection,Weight,,g,"FDA,1",32,42,TM143
2OP638LI,Lid_13D,NY-Analytical,Lid Inspection,Appearance,Appearance Material is clean and free of particulate matter.  (Done),,,,,TM208
2OP638LI,Lid_13D,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2OP638LI,Lid_13D,NY-Analytical,Lid Inspection,Odor,None detectable (Done),,,,,TM208
2OP638LI,Lid_13D,NY-Analytical,Lid Inspection,Functionality,Pass (Done),,,,,TM208
2OP638LI,Lid_13D,NY-Analytical,Lid Inspection,Color,Translucent Gray (Done),,,,,TM208
2OQ850LI,Lid_11B,NY-Analytical,Lid Inspection,Orifice Flap Thickness,,in,"FDA,3",0.018,0.028,TM143
2OQ850LI,Lid_11B,NY-Analytical,Lid Inspection,Lid Wall Thickness,,in,"FDA,3",0.035,0.045,TM143
2OQ850LI,Lid_11B,NY-Analytical,Lid Inspection,Insert Fin Gap,,in,"FDA,3",0.065,0.075,TM143
2OQ850LI,Lid_11B,NY-Analytical,Lid Inspection,Pop-Up Hole Outer Diameter,,in,"FDA,3",0.16,0.17,TM143
2OQ850LI,Lid_11B,NY-Analytical,Lid Inspection,Overall Lid Height,,in,"FDA,3",1.472,1.492,TM143
2OQ850LI,Lid_11B,NY-Analytical,Flip Lid Force,Flip Lid Force,,lb,"FDA,2",0.75,,TM 143
2OQ850LI,Lid_11B,NY-Analytical,Lid Inspection,Bead Diameter,,in,"FDA,3",4.847,4.867,TM143
2OQ850LI,Lid_11B,NY-Analytical,Lid Inspection,Lid Inside Diameter,,in,"FDA,3",4.917,4.937,TM143
2OQ850LI,Lid_11B,NY-Analytical,Lid Inspection,Weight,,g,"FDA,1",33,42,TM143
2OQ850LI,Lid_11B,NY-Analytical,Lid Inspection,Appearance,Appearance Material is clean and free of particulate matter.  (Done),,,,,TM208
2OQ850LI,Lid_11B,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2OQ850LI,Lid_11B,NY-Analytical,Lid Inspection,Odor,None detectable (Done),,,,,TM208
2OQ850LI,Lid_11B,NY-Analytical,Lid Inspection,Functionality,Pass (Done),,,,,TM208
2OQ850LI,Lid_11B,NY-Analytical,Lid Inspection,Color,Translucent Red (Done),,,,,TM208
2OQ882LI,Lid_12A,NY-Analytical,Lid Inspection,Orifice Flap Thickness,,in,"FDA,3",0.018,0.028,TM143
2OQ882LI,Lid_12A,NY-Analytical,Lid Inspection,Lid Wall Thickness,,in,"FDA,3",0.035,0.045,TM143
2OQ882LI,Lid_12A,NY-Analytical,Lid Inspection,Cap Thickness,,in,"FDA,3",0.045,0.055,TM143
2OQ882LI,Lid_12A,NY-Analytical,Lid Inspection,Insert Fin Gap,,in,"FDA,3",0.065,0.075,TM143
2OQ882LI,Lid_12A,NY-Analytical,Lid Inspection,Pop-Up Hole Outer Diameter,,in,"FDA,3",0.16,0.17,TM143
2OQ882LI,Lid_12A,NY-Analytical,Lid Inspection,Overall Lid Height,,in,"FDA,3",1.472,1.492,TM143
2OQ882LI,Lid_12A,NY-Analytical,Flip Lid Force,Flip Lid Force,,lb,"FDA,2",0.75,,TM 143
2OQ882LI,Lid_12A,NY-Analytical,Lid Inspection,Bead Diameter,,in,"FDA,3",4.852,4.862,TM143
2OQ882LI,Lid_12A,NY-Analytical,Lid Inspection,Weight,,g,"FDA,1",32,42,TM143
2OQ882LI,Lid_12A,NY-Analytical,Lid Inspection,Appearance,Appearance Material is clean and free of particulate matter.  (Done),,,,,TM208
2OQ882LI,Lid_12A,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2OQ882LI,Lid_12A,NY-Analytical,Lid Inspection,Color,Dark Green (Done),,,,,TM208
2OQ882LI,Lid_12A,NY-Analytical,Lid Inspection,Odor,None detectable (Done),,,,,TM208
2OQ882LI,Lid_12A,NY-Analytical,Lid Inspection,Functionality,Pass (Done),,,,,TM208
2OU130,Web_NP5115_9.0,NY-Analytical,Web Measurement,Web Width,,in,"FDA,4",8.9375,9.0625,TM143
2OU130,Web_NP5115_9.0,NY-Analytical,Basis Weight,Basis Weight,,#/Ream,"FDA,1",55.6,68,TM 101
2OU130,Web_NP5115_9.0,NY-Analytical,Seal Strength,Seal Strength (325°F/40PSI/0.5ec Dwell),,g/in,"FDA,0",1500,,TM107
2OU130,Web_NP5115_9.0,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
3XP134,"Applicator_NY_35gsm Stora Flat - 36""",NY-Analytical,Caliper,Caliper,,in,"FDA,3",0.006,0.009,TM102
3XP134,"Applicator_NY_35gsm Stora Flat - 36""",NY-Analytical,Basis Weight,Basis Weight,,GSM,"FDA,1",31.5,38.5,TM 101
3XP134,"Applicator_NY_35gsm Stora Flat - 36""",NY-Analytical,Applicator Measurements,Roll Width,,in,"FDA,3",35.875,36.125,TM143
3XP134,"Applicator_NY_35gsm Stora Flat - 36""",NY-Analytical,Applicator Measurements,Roll Diameter,,in,"FDA,0",39,40,TM143
3XP134,"Applicator_NY_35gsm Stora Flat - 36""",NY-Analytical,Tensile Strength,Wet CD ,,g/in,"FDA,0",250,1250,TM 103
3XP134,"Applicator_NY_35gsm Stora Flat - 36""",NY-Analytical,Tensile Strength,Wet MD ,,g/in,"FDA,0",800,2600,TM 103
3XP134,"Applicator_NY_35gsm Stora Flat - 36""",NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
3XP134,"Applicator_NY_35gsm Stora Flat - 36""",NY-Analytical,Visual Inspection,Appearance,Meets specifications (Done),,,,,TM208
3XP134,"Applicator_NY_35gsm Stora Flat - 36""",NY-Analytical,Visual Inspection,Odor,Meets specifications (Done),,,,,TM208
3XP134,"Applicator_NY_35gsm Stora Flat - 36""",NY-Analytical,Visual Inspection,Color,White with no off colors or shading [Done],,,,,TM208
3XP138,Applicator_36B,NY-Analytical,Applicator Measurements,Roll Width,,in,"FDA,3",37.375,37.625,TM143
3XP138,Applicator_36B,NY-Analytical,Basis Weight,Basis Weight,,GSM,"FDA,0",35,45,TM 101
3XP138,Applicator_36B,NY-Analytical,Applicator Measurements,Roll Diameter,,in,"FDA,0",43,47,TM143
3XP138,Applicator_36B,NY-Analytical,Caliper,Caliper,,um,"FDA,0",340,540,TM102
3XP138,Applicator_36B,NY-Analytical,Tensile Strength,Wet CD CoA ,,g/in,"FDA,0",400,,TM 103
3XP138,Applicator_36B,NY-Analytical,Tensile Strength,Wet MD CoA ,,g/in,"FDA,0",1000,,TM 103
3XP138,Applicator_36B,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
3XP138,Applicator_36B,NY-Analytical,Visual Inspection,Appearance,Meets specifications (Done),,,,,TM208
3XP138,Applicator_36B,NY-Analytical,Visual Inspection,Color,Meets specifications (Done),,,,,TM208
3XP138,Applicator_36B,NY-Analytical,Visual Inspection,Odor,Meets specifications (Done),,,,,TM208
3XP253,"Applicator_NY_35gsm Flat Thermoembonded Nonwoven 30""",NY-Analytical,Caliper,Caliper,,mm,"FDA,2",0.27,0.41,TM102
3XP253,"Applicator_NY_35gsm Flat Thermoembonded Nonwoven 30""",NY-Analytical,Applicator Measurements,Roll Width,,in,"FDA,3",29.875,30.125,TM143
3XP253,"Applicator_NY_35gsm Flat Thermoembonded Nonwoven 30""",NY-Analytical,Basis Weight,Basis Weight,,GSM,"FDA,1",31.5,38.5,TM 101
3XP253,"Applicator_NY_35gsm Flat Thermoembonded Nonwoven 30""",NY-Analytical,Tensile Strength,Wet CD ,,g/in,"FDA,0",300,,TM 103
