Mat_MatCode,METHOD,Analyte,Component,Res_Units,Numeric_Result,Low_Release_Limit,High_Release_Limit,Rounding_Rule,SP_TestPlan,,,,,
5AA347BT,,3.40625,Box Inspection,Box_NY_0.020SBS_300_3.375-1.313-2.625,,,,in,,3.34375,Length,,Box Inspection,"FDA,5"
5AA347BT,,,Box Inspection,Box_NY_0.020SBS_300_3.375-1.313-2.625,,,,,,,AQL Sample Size,,AQL,"FDA,0"
5AA347BT,,,Box Inspection,Box_NY_0.020SBS_300_3.375-1.313-2.625,,,Meets specifications,in,,,Artwork / Copy,,Box Inspection,
5AA347BT,,,Box Inspection,Box_NY_0.020SBS_300_3.375-1.313-2.625,,,Open Top/Auto Bottom Tray,,,,Carton Style,,Box Inspection,
5AA347BT,,,Box Inspection,Box_NY_0.020SBS_300_3.375-1.313-2.625,,,SBS,,,,Carton Material,,Box Inspection,
5AA404S48,,,Box Inspection,Box_NY_0.018SBS_111_6-5.875-3.625,,,,in,,,Artwork / Copy,,Box Inspection,
5AA404S48,,0.019,Box Inspection,Box_NY_0.018SBS_111_6-5.875-3.625,,,,in,,0.017,Caliper,,TM102,"FDA,3"
5AA404S48,,,Box Inspection,Box_NY_0.018SBS_111_6-5.875-3.625,,,,,,,Carton Material,,Box Inspection,
5AA404S48,,,Box Inspection,Box_NY_0.018SBS_111_6-5.875-3.625,,,,,,,Carton Style,,Box Inspection,
5AA404S48,,3.65625,Box Inspection,Box_NY_0.018SBS_111_6-5.875-3.625,,,,in,,3.59375,Height,,Box Inspection,"FDA,5"
5AA404S48,,6.03125,Box Inspection,Box_NY_0.018SBS_111_6-5.875-3.625,,,,in,,5.96875,Length,,Box Inspection,"FDA,5"
5AA404S48,,5.90625,Box Inspection,Box_NY_0.018SBS_111_6-5.875-3.625,,,,in,,5.84375,Width,,Box Inspection,"FDA,5"
5AA617S96,,0.019,Box Inspection,Box_NY_0.018SBS_47B_3.625-3.875-6,,,,in,,0.017,Caliper,,TM102,"FDA,3"
5AA617S96,,3.65625,Box Inspection,Box_NY_0.018SBS_47B_3.625-3.875-6,,,,in,,3.59375,Length,,Box Inspection,"FDA,5"
5AA617S96,,3.90625,Box Inspection,Box_NY_0.018SBS_47B_3.625-3.875-6,,,,in,,3.84375,Width,,Box Inspection,"FDA,5"
5AA617S96,,6.03125,Box Inspection,Box_NY_0.018SBS_47B_3.625-3.875-6,,,,in,,5.96875,Height,,Box Inspection,"FDA,5"
5AA617S96,,,Box Inspection,Box_NY_0.018SBS_47B_3.625-3.875-6,,,Meets specifications,in,,,Artwork / Copy,,Box Inspection,
5AA617S96,,,Box Inspection,Box_NY_0.018SBS_47B_3.625-3.875-6,,,SBS,,,,Carton Material,,Box Inspection,
5AA617S96,,,Box Inspection,Box_NY_0.018SBS_47B_3.625-3.875-6,,,Straight Tuck End -  French Style,,,,Carton Style,,Box Inspection,
5AA632S60,,0.021,Box Inspection,Box_NY_0.020SBS_101_6-3.625-7,,,,in,,0.019,Caliper,,TM102,"FDA,3"
5AA632S60,,,Box Inspection,Box_NY_0.020SBS_101_6-3.625-7,,,,,,,AQL Sample Size,,AQL,"FDA,0"
5AA632S60,,3.65625,Box Inspection,Box_NY_0.020SBS_101_6-3.625-7,,,,in,,3.59375,Width,,Box Inspection,"FDA,5"
5AA632S60,,6.03125,Box Inspection,Box_NY_0.020SBS_101_6-3.625-7,,,,in,,5.96875,Length,,Box Inspection,"FDA,5"
5AA632S60,,7.03125,Box Inspection,Box_NY_0.020SBS_101_6-3.625-7,,,,in,,6.96875,Height,,Box Inspection,"FDA,5"
5AA632S60,,,Box Inspection,Box_NY_0.020SBS_101_6-3.625-7,,,Meets specifications,in,,,Artwork / Copy,,Box Inspection,
5AA632S60,,,Box Inspection,Box_NY_0.020SBS_101_6-3.625-7,,,SBS,,,,Carton Material,,Box Inspection,
5AA632S60,,,Box Inspection,Box_NY_0.020SBS_101_6-3.625-7,,,Tuck Top / Auto Bottom - French Style,,,,Carton Style,,Box Inspection,
5AA911TY,,0.021,Box Inspection,Box_NY_0.020SBS_105_4.5-7.9375-7.9375,,,,in,,0.019,Caliper,,TM102,"FDA,3"
5AA911TY,,4.53125,Box Inspection,Box_NY_0.020SBS_105_4.5-7.9375-7.9375,,,,in,,4.46875,Length,,Box Inspection,"FDA,5"
5AA911TY,,7.96875,Box Inspection,Box_NY_0.020SBS_105_4.5-7.9375-7.9375,,,,in,,7.90625,Height,,Box Inspection,"FDA,5"
5AA911TY,,7.96875,Box Inspection,Box_NY_0.020SBS_105_4.5-7.9375-7.9375,,,,in,,7.90625,Width,,COA,"FDA,5"
5AA911TY,,,Box Inspection,Box_NY_0.020SBS_105_4.5-7.9375-7.9375,,,,,,,AQL Sample Size,,AQL,"FDA,0"
5AA911TY,,,Box Inspection,Box_NY_0.020SBS_105_4.5-7.9375-7.9375,,,Meets specifications,in,,,Artwork / Copy,,Box Inspection,
5AA911TY,,,Box Inspection,Box_NY_0.020SBS_105_4.5-7.9375-7.9375,,,SBS,,,,Carton Material,,Box Inspection,
5AA911TY,,,Box Inspection,Box_NY_0.020SBS_105_4.5-7.9375-7.9375,,,Tuck Top / Auto Bottom w/perf,,,,Carton Style,,Box Inspection,
5AB123CP,,2,Label Inspection,Label_NY_5AB123CP_1.9375-1.875,,,,in,,1.875,Length,,TM143,"FDA,4"
5AB123CP,,1.9375,Label Inspection,Label_NY_5AB123CP_1.9375-1.875,,,,in,,1.8125,Width,,TM143,"FDA,4"
5AB123CP,,,Label Inspection,Label_NY_5AB123CP_1.9375-1.875,,,Copy/color should be in accordance with individual Item # print spec,,,,Color/Copy,,TM208,
5AB123CP,,,Label Inspection,Label_NY_5AB123CP_1.9375-1.875,,,Material must be clean and free of particulate matter,,,,Appearance,,TM208,
5AB123CP,,,Label Inspection,Label_NY_5AB123CP_1.9375-1.875,,,"No smears, streaks, spots, or voids",,,,Print,,TM208,
5AB123CP,,,Label Inspection,Label_NY_5AB123CP_1.9375-1.875,,,No solvent odor is to be present,,,,Odor,,TM208,
5AB123CP,,,Certificate of Conformance,Label_NY_5AB123CP_1.9375-1.875,,,,,,,Certificate of Conformance,,COA,
5AB123ST,,0.019,Box Inspection,Box_NY_0.018SBS_107_10.25-2.375-2.75,,,,in,,0.017,Caliper,,TM102,"FDA,3"
5AB123ST,,2.40625,Box Inspection,Box_NY_0.018SBS_107_10.25-2.375-2.75,,,,in,,2.34375,Width,,Box Inspection,"FDA,5"
5AB123ST,,2.78125,Box Inspection,Box_NY_0.018SBS_107_10.25-2.375-2.75,,,,in,,2.71875,Height,,Box Inspection,"FDA,5"
5AB123ST,,10.28125,Box Inspection,Box_NY_0.018SBS_107_10.25-2.375-2.75,,,,in,,10.21875,Length,,Box Inspection,"FDA,5"
5AB123ST,,,Box Inspection,Box_NY_0.018SBS_107_10.25-2.375-2.75,,,Meets specifications,in,,,Artwork / Copy,,Box Inspection,
5AB123ST,,,Box Inspection,Box_NY_0.018SBS_107_10.25-2.375-2.75,,,SBS,,,,Carton Material,,Box Inspection,
5AB123ST,,,Box Inspection,Box_NY_0.018SBS_107_10.25-2.375-2.75,,,TT/AB w/friction lock,,,,Carton Style,,Box Inspection,
5AD02424,,0.019,Box Inspection,Box_NY_0.018SBS_107_4-2.03125-4.5,,,,in,,0.017,Caliper,,TM102,"FDA,3"
5AD02424,,2.0625,Box Inspection,Box_NY_0.018SBS_107_4-2.03125-4.5,,,,in,,2,Width,,Box Inspection,"FDA,5"
5AD02424,,4.03125,Box Inspection,Box_NY_0.018SBS_107_4-2.03125-4.5,,,,in,,3.96875,Length,,Box Inspection,"FDA,5"
5AD02424,,4.53125,Box Inspection,Box_NY_0.018SBS_107_4-2.03125-4.5,,,,in,,4.46875,Height,,Box Inspection,"FDA,5"
5AD02424,,,Box Inspection,Box_NY_0.018SBS_107_4-2.03125-4.5,,,Meets specifications,in,,,Artwork / Copy,,Box Inspection,
5AD02424,,,Box Inspection,Box_NY_0.018SBS_107_4-2.03125-4.5,,,SBS,,,,Carton Material,,Box Inspection,
5AD02424,,,Box Inspection,Box_NY_0.018SBS_107_4-2.03125-4.5,,,Tuck Top Auto Bottom w/ Tab Lock,,,,Carton Style,,Box Inspection,
5AH45016,,0.019,Box Inspection,Box_NY_0.018SBS_101_3.875-2-3.5,,,,in,,0.017,Caliper,,TM102,"FDA,3"
5AH45016,,2.03125,Box Inspection,Box_NY_0.018SBS_101_3.875-2-3.5,,,,in,,1.96875,Width,,Box Inspection,"FDA,5"
5AH45016,,3.53125,Box Inspection,Box_NY_0.018SBS_101_3.875-2-3.5,,,,in,,3.46875,Height,,Box Inspection,"FDA,5"
5AH45016,,3.90625,Box Inspection,Box_NY_0.018SBS_101_3.875-2-3.5,,,,in,,3.84375,Length,,Box Inspection,"FDA,5"
5AH45016,,,Box Inspection,Box_NY_0.018SBS_101_3.875-2-3.5,,,,,,,AQL Sample Size,,AQL,"FDA,0"
5AH45016,,,Box Inspection,Box_NY_0.018SBS_101_3.875-2-3.5,,,French Tuck Top / Auto Bottom,,,,Carton Style,,Box Inspection,
5AH45016,,,Box Inspection,Box_NY_0.018SBS_101_3.875-2-3.5,,,Meets specifications,in,,,Artwork / Copy,,Box Inspection,
5AH45016,,,Box Inspection,Box_NY_0.018SBS_101_3.875-2-3.5,,,SBS,,,,Carton Material,,Box Inspection,
5AH58195,,0.021,Box Inspection,Box_NY_0.020SBS_127_6.25-2.5625-4.625,,,,in,,0.019,Caliper,,TM102,"FDA,3"
5AH58195,,2.59375,Box Inspection,Box_NY_0.020SBS_127_6.25-2.5625-4.625,,,,in,,2.53125,Width,,Box Inspection,"FDA,5"
5AH58195,,4.65625,Box Inspection,Box_NY_0.020SBS_127_6.25-2.5625-4.625,,,,in,,4.59375,Height,,Box Inspection,"FDA,5"
5AH58195,,6.28125,Box Inspection,Box_NY_0.020SBS_127_6.25-2.5625-4.625,,,,in,,6.21875,Length,,Box Inspection,"FDA,5"
5AH58195,,,Box Inspection,Box_NY_0.020SBS_127_6.25-2.5625-4.625,,,Meets specifications,in,,,Artwork / Copy,,Box Inspection,
5AH58195,,,Box Inspection,Box_NY_0.020SBS_127_6.25-2.5625-4.625,,,SBS,,,,Carton Material,,Box Inspection,
5AH58195,,,Box Inspection,Box_NY_0.020SBS_127_6.25-2.5625-4.625,,,Straight Tuck w/Partition Dispenser Box,,,,Carton Style,,Box Inspection,
5AJ130BT,,,Box Inspection,Box_NY_0.020SBS_306_3.3125-1.4375-2.625,,,,,,,AQL Sample Size,,AQL,"FDA,0"
5AJ130BT,,,Box Inspection,Box_NY_0.020SBS_306_3.3125-1.4375-2.625,,,,,,,Artwork / Copy,,Box Inspection,
5AJ130BT,,0.021,Box Inspection,Box_NY_0.020SBS_306_3.3125-1.4375-2.625,,,,in,,0.019,Caliper,,TM102,"FDA,3"
5AJ130BT,,,Box Inspection,Box_NY_0.020SBS_306_3.3125-1.4375-2.625,,,,,,,Carton Material,,Box Inspection,
5AJ130BT,,,Box Inspection,Box_NY_0.020SBS_306_3.3125-1.4375-2.625,,,,,,,Carton Style,,Box Inspection,
5AJ130BT,,2.65625,Box Inspection,Box_NY_0.020SBS_306_3.3125-1.4375-2.625,,,,in,,2.59375,Height,,Box Inspection,"FDA,5"
5AJ130BT,,3.34375,Box Inspection,Box_NY_0.020SBS_306_3.3125-1.4375-2.625,,,,in,,3.28125,Length,,Box Inspection,"FDA,5"
5AJ130BT,,1.46875,Box Inspection,Box_NY_0.020SBS_306_3.3125-1.4375-2.625,,,,in,,1.40625,Width,,Box Inspection,"FDA,5"
5AP027TY,,5.715,Box Inspection,Box_57A,,,,in,,5.535,Width,,Box Inspection,"FDA,3"
5AP027TY,,10.84,Box Inspection,Box_57A,,,,in,,10.66,Length,,Box Inspection,"FDA,3"
5AP027TY,,,Box Inspection,Box_57A,,,Clear,,,,Color,,Box Inspection,
5AP027TY,,,Certificate of Compliance,Box_57A,,,CofC meets specifications,,,,Certificate of Compliance,,COA,
5AP027TY,,,Box Inspection,Box_57A,,,Meets specification,,,,Appearance,,Box Inspection,
5AP027TY,,,Box Inspection,Box_57A,,,Meets specification,,,,Functionality,,Box Inspection,
5AP027TY,,,Box Inspection,Box_57A,,,None Detectable,,,,Odor,,Box Inspection,
5AP07530,,0.021,Box Inspection,Box_NY_0.020BC_110_6.375-3.4375-4.75,,,,in,,0.019,Caliper,,TM102,"FDA,3"
5AP07530,,3.46875,Box Inspection,Box_NY_0.020BC_110_6.375-3.4375-4.75,,,,in,,3.40625,Width,,Box Inspection,"FDA,5"
5AP07530,,4.78125,Box Inspection,Box_NY_0.020BC_110_6.375-3.4375-4.75,,,,in,,4.71875,Height,,Box Inspection,"FDA,5"
5AP07530,,6.40625,Box Inspection,Box_NY_0.020BC_110_6.375-3.4375-4.75,,,,in,,6.34375,Length,,Box Inspection,"FDA,5"
5AP07530,,,Box Inspection,Box_NY_0.020BC_110_6.375-3.4375-4.75,,,,,,,AQL Sample Size,,AQL,"FDA,0"
5AP07530,,,Box Inspection,Box_NY_0.020BC_110_6.375-3.4375-4.75,,,BC,,,,Carton Material,,Box Inspection,
5AP07530,,,Box Inspection,Box_NY_0.020BC_110_6.375-3.4375-4.75,,,Meets specifications,in,,,Artwork / Copy,,Box Inspection,
5AP07530,,,Box Inspection,Box_NY_0.020BC_110_6.375-3.4375-4.75,,,TT/AB w/finger holes,,,,Carton Style,,Box Inspection,
5AP209SL,,0.021,Box Inspection,Box_NY_0.020BC_220_5.09375-3.6875-4.625,,,,in,,0.019,Caliper,,TM102,"FDA,3"
5AP209SL,,3.71875,Box Inspection,Box_NY_0.020BC_220_5.09375-3.6875-4.625,,,,in,,3.65625,Width,,Box Inspection,"FDA,5"
5AP209SL,,4.65625,Box Inspection,Box_NY_0.020BC_220_5.09375-3.6875-4.625,,,,in,,4.59375,Height,,Box Inspection,"FDA,5"
5AP209SL,,5.125,Box Inspection,Box_NY_0.020BC_220_5.09375-3.6875-4.625,,,,in,,5.0625,Length,,Box Inspection,"FDA,5"
5AP209SL,,,Box Inspection,Box_NY_0.020BC_220_5.09375-3.6875-4.625,,,,,,,AQL Sample Size,,AQL,"FDA,0"
5AP209SL,,,Box Inspection,Box_NY_0.020BC_220_5.09375-3.6875-4.625,,,BC,,,,Carton Material,,Box Inspection,
5AP209SL,,,Box Inspection,Box_NY_0.020BC_220_5.09375-3.6875-4.625,,,"Diecut Glued Sleeve w/ 2-1"" fingerholes",,,,Carton Style,,Box Inspection,
5AP209SL,,,Box Inspection,Box_NY_0.020BC_220_5.09375-3.6875-4.625,,,Meets specifications,in,,,Artwork / Copy,,Box Inspection,
5AP21195,,0.025,Box Inspection,Box_01M,,,,in,,0.023,Caliper,,TM102,"FDA,3"
5AP21195,,4.53125,Box Inspection,Box_01M,,,,in,,4.46875,Width,,Box Inspection,"FDA,5"
5AP21195,,4.65625,Box Inspection,Box_01M,,,,in,,4.59375,Length,,Box Inspection,"FDA,5"
5AP21195,,5.90625,Box Inspection,Box_01M,,,,in,,5.84375,Height,,Box Inspection,"FDA,5"
5AP21195,,,Box Inspection,Box_01M,,,Bending Chip,,,,Carton Material,,Box Inspection,
5AP21195,,,Box Inspection,Box_01M,,,Meets specifications,in,,,Artwork / Copy,,Box Inspection,
5AP21195,,,Box Inspection,Box_01M,,,Tuck Top / Auto Bottom,,,,Carton Style,,Box Inspection,
5AP227TY,,0.021,Box Inspection,Box_NY_0.020SBS_300_4.625-5-3.625,,,,in,,0.019,Caliper,,TM102,"FDA,3"
5AP227TY,,3.65625,Box Inspection,Box_NY_0.020SBS_300_4.625-5-3.625,,,,in,,3.59375,Height,,Box Inspection,"FDA,5"
5AP227TY,,4.65625,Box Inspection,Box_NY_0.020SBS_300_4.625-5-3.625,,,,in,,4.59375,Length,,Box Inspection,"FDA,5"
5AP227TY,,5.03125,Box Inspection,Box_NY_0.020SBS_300_4.625-5-3.625,,,,in,,4.96875,Width,,Box Inspection,"FDA,5"
5AP227TY,,,Box Inspection,Box_NY_0.020SBS_300_4.625-5-3.625,,,,,,,AQL Sample Size,,AQL,"FDA,0"
5AP227TY,,,Box Inspection,Box_NY_0.020SBS_300_4.625-5-3.625,,,Meets specifications,in,,,Artwork / Copy,,Box Inspection,
5AP227TY,,,Box Inspection,Box_NY_0.020SBS_300_4.625-5-3.625,,,Open Top/Auto Bottom Tray,,,,Carton Style,,Box Inspection,
5AP227TY,,,Box Inspection,Box_NY_0.020SBS_300_4.625-5-3.625,,,SBS,,,,Carton Material,,Box Inspection,
5AP229TY,,0.025,Box Inspection,Box_NY_0.024SBS_303_8.228-3.661-6.024,,,,in,,0.023,Caliper,,TM102,"FDA,3"
5AP229TY,,3.69225,Box Inspection,Box_NY_0.024SBS_303_8.228-3.661-6.024,,,,in,,3.62975,Width,,Box Inspection,"FDA,5"
5AP229TY,,6.05525,Box Inspection,Box_NY_0.024SBS_303_8.228-3.661-6.024,,,,in,,5.99275,Height,,Box Inspection,"FDA,5"
5AP229TY,,8.25925,Box Inspection,Box_NY_0.024SBS_303_8.228-3.661-6.024,,,,in,,8.19675,Length,,Box Inspection,"FDA,5"
5AP229TY,,,Box Inspection,Box_NY_0.024SBS_303_8.228-3.661-6.024,,,A/B tray w/tear-off lid,,,,Carton Style,,Box Inspection,
5AP229TY,,,Box Inspection,Box_NY_0.024SBS_303_8.228-3.661-6.024,,,Meets specifications,in,,,Artwork / Copy,,Box Inspection,
5AP229TY,,,Box Inspection,Box_NY_0.024SBS_303_8.228-3.661-6.024,,,SBS,,,,Carton Material,,Box Inspection,
5AP308TY,,0.135,Box Inspection,Box_63A,,,,in,,0.045,Flange - Sides,,Box Inspection,"FDA,3"
5AP308TY,,0.135,Box Inspection,Box_63A,,,,in,,0.045,Flange - Top & Bottom,,Box Inspection,"FDA,3"
5AP308TY,,2.963,Box Inspection,Box_63A,,,,in,,2.899,Total Height,,Box Inspection,"FDA,3"
5AP308TY,,6.157,Box Inspection,Box_63A,,,,in,,6.093,Width,,Box Inspection,"FDA,3"
5AP308TY,,7.22,Box Inspection,Box_63A,,,,in,,7.156,Length,,Box Inspection,"FDA,3"
5AP308TY,,,Box Inspection,Box_63A,,,Clear,,,,Color,,Box Inspection,
5AP308TY,,,Certificate of Analysis,Box_63A,,,CofA meets specifications,,,,Certificate of Analysis,,COA,
5AP308TY,,,Box Inspection,Box_63A,,,Meets specification,,,,Appearance,,Box Inspection,
5AP308TY,,,Box Inspection,Box_63A,,,None Detectable,,,,Odor,,Box Inspection,
5AU25206,,0.019,Box Inspection,Box_NY_0.018SBS_100_101.6-44.45-101.6,,,,in,,0.017,Caliper,,TM102,"FDA,3"
5AU25206,,45.2,Box Inspection,Box_NY_0.018SBS_100_101.6-44.45-101.6,,,,mm,,43.7,Width,,Box Inspection,"FDA,1"
5AU25206,,102.4,Box Inspection,Box_NY_0.018SBS_100_101.6-44.45-101.6,,,,mm,,100.8,Height,,Box Inspection,"FDA,1"
5AU25206,,102.4,Box Inspection,Box_NY_0.018SBS_100_101.6-44.45-101.6,,,,mm,,100.8,Length,,Box Inspection,"FDA,1"
5AU25206,,,Box Inspection,Box_NY_0.018SBS_100_101.6-44.45-101.6,,,,,,,AQL Sample Size,,AQL,"FDA,0"
5AU25206,,,Box Inspection,Box_NY_0.018SBS_100_101.6-44.45-101.6,,,Meets specifications,in,,,Artwork / Copy,,Box Inspection,
5AU25206,,,Box Inspection,Box_NY_0.018SBS_100_101.6-44.45-101.6,,,SBS,,,,Carton Material,,Box Inspection,
5AU25206,,,Box Inspection,Box_NY_0.018SBS_100_101.6-44.45-101.6,,,Tuck Top / Auto Bottom,,,,Carton Style,,Box Inspection,
5AU252IN,,0.021,Box Inspection,Box_NY_0.020TBC_123_4.09375-3.625-4.3125,,,,in,,0.019,Caliper,,TM102,"FDA,3"
5AU252IN,,3.65625,Box Inspection,Box_NY_0.020TBC_123_4.09375-3.625-4.3125,,,,in,,3.59375,Width,,Box Inspection,"FDA,5"
5AU252IN,,4.125,Box Inspection,Box_NY_0.020TBC_123_4.09375-3.625-4.3125,,,,in,,4.0625,Length,,Box Inspection,"FDA,5"
5AU252IN,,4.34375,Box Inspection,Box_NY_0.020TBC_123_4.09375-3.625-4.3125,,,,in,,4.28125,Height,,Box Inspection,"FDA,5"
5AU252IN,,,Box Inspection,Box_NY_0.020TBC_123_4.09375-3.625-4.3125,,,,,,,AQL Sample Size,,AQL,"FDA,0"
5AU252IN,,,Box Inspection,Box_NY_0.020TBC_123_4.09375-3.625-4.3125,,,Does not meet specifications (OOS),in,,,Artwork / Copy,,Box Inspection,
5AU252IN,,,Box Inspection,Box_NY_0.020TBC_123_4.09375-3.625-4.3125,,,RT,,,,Carton Style,,Box Inspection,
5AU252IN,,,Box Inspection,Box_NY_0.020TBC_123_4.09375-3.625-4.3125,,,TBC,,,,Carton Material,,Box Inspection,
5AU252IN,,,Certificate of Analysis,Box_NY_0.020TBC_123_4.09375-3.625-4.3125,,,,,,,Certificate of Analysis,,COA,
5AU31450,,0.021,Box Inspection,Box_NY_0.020SBS_169_6-3.125-5.9375,,,,in,,0.019,Caliper,,TM102,"FDA,3"
5AU31450,,3.15625,Box Inspection,Box_NY_0.020SBS_169_6-3.125-5.9375,,,,in,,3.09375,Width,,Box Inspection,"FDA,5"
5AU31450,,5.96875,Box Inspection,Box_NY_0.020SBS_169_6-3.125-5.9375,,,,in,,5.90625,Height,,Box Inspection,"FDA,5"
5AU31450,,6.03125,Box Inspection,Box_NY_0.020SBS_169_6-3.125-5.9375,,,,in,,5.96875,Length,,Box Inspection,"FDA,5"
5AU31450,,,Box Inspection,Box_NY_0.020SBS_169_6-3.125-5.9375,,,Dispenser,,,,Carton Style,,Box Inspection,
5AU31450,,,Box Inspection,Box_NY_0.020SBS_169_6-3.125-5.9375,,,Meets specifications,in,,,Artwork / Copy,,Box Inspection,
5AU31450,,,Box Inspection,Box_NY_0.020SBS_169_6-3.125-5.9375,,,SBS,,,,Carton Material,,Box Inspection,
5AU44410,,0.017,Box Inspection,Box_NY_0.016SBS_124_2.9375-1.875-3.8125,,,,in,,0.015,Caliper,,TM102,"FDA,3"
5AU44410,,1.90625,Box Inspection,Box_NY_0.016SBS_124_2.9375-1.875-3.8125,,,,in,,1.84375,Width,,Box Inspection,"FDA,5"
5AU44410,,2.96875,Box Inspection,Box_NY_0.016SBS_124_2.9375-1.875-3.8125,,,,in,,2.90625,Length,,Box Inspection,"FDA,5"
5AU44410,,3.84375,Box Inspection,Box_NY_0.016SBS_124_2.9375-1.875-3.8125,,,,in,,3.78125,Height,,Box Inspection,"FDA,5"
5AU44410,,,Box Inspection,Box_NY_0.016SBS_124_2.9375-1.875-3.8125,,,Meets specifications,in,,,Artwork / Copy,,Box Inspection,
5AU44410,,,Box Inspection,Box_NY_0.016SBS_124_2.9375-1.875-3.8125,,,SBS,,,,Carton Material,,Box Inspection,
5AU44410,,,Box Inspection,Box_NY_0.016SBS_124_2.9375-1.875-3.8125,,,"Straight Tuck End w/1"" glued double header",,,,Carton Style,,Box Inspection,
5AU57314,,0.017,Box Inspection,Box_NY_0.016CCSBS_100_3-2.5-4,,,,in,,0.015,Caliper,,TM102,"FDA,3"
5AU57314,,2.53125,Box Inspection,Box_NY_0.016CCSBS_100_3-2.5-4,,,,in,,2.46875,Width,,Box Inspection,"FDA,5"
5AU57314,,3.03125,Box Inspection,Box_NY_0.016CCSBS_100_3-2.5-4,,,,in,,2.96875,Length,,Box Inspection,"FDA,5"
5AU57314,,4.03125,Box Inspection,Box_NY_0.016CCSBS_100_3-2.5-4,,,,in,,3.96875,Height,,Box Inspection,"FDA,5"
5AU57314,,,Box Inspection,Box_NY_0.016CCSBS_100_3-2.5-4,,,,,,,AQL Sample Size,,AQL,"FDA,0"
5AU57314,,,Box Inspection,Box_NY_0.016CCSBS_100_3-2.5-4,,,Clay Coated SBS,,,,Carton Material,,Box Inspection,
5AU57314,,,Box Inspection,Box_NY_0.016CCSBS_100_3-2.5-4,,,Meets specifications,in,,,Artwork / Copy,,Box Inspection,
5AU57314,,,Box Inspection,Box_NY_0.016CCSBS_100_3-2.5-4,,,Tuck Top / Auto Bottom,,,,Carton Style,,Box Inspection,
5BU19101,,0.021,Box Inspection,Box_NY_0.020SBS_129_5.75-3-3.875,,,,in,,0.019,Caliper,,TM102,"FDA,3"
5BU19101,,3.03125,Box Inspection,Box_NY_0.020SBS_129_5.75-3-3.875,,,,in,,2.96875,Width,,Box Inspection,"FDA,5"
5BU19101,,3.90625,Box Inspection,Box_NY_0.020SBS_129_5.75-3-3.875,,,,in,,3.84375,Height,,Box Inspection,"FDA,5"
5BU19101,,5.78125,Box Inspection,Box_NY_0.020SBS_129_5.75-3-3.875,,,,in,,5.71875,Length,,Box Inspection,"FDA,5"
5BU19101,,,Box Inspection,Box_NY_0.020SBS_129_5.75-3-3.875,,,Meets specifications,in,,,Artwork / Copy,,Box Inspection,
5BU19101,,,Box Inspection,Box_NY_0.020SBS_129_5.75-3-3.875,,,SBS,,,,Carton Material,,Box Inspection,
5BU19101,,,Box Inspection,Box_NY_0.020SBS_129_5.75-3-3.875,,,Straight Tuck End French Style Dipsenser w/False Bottom,,,,Carton Style,,Box Inspection,
5BU26595,,0.025,Box Inspection,Box_NY_0.024SBS_102_4.390625-4.390625-12,,,,in,,0.023,Caliper,,TM102,"FDA,3"
5BU26595,,4.421875,Box Inspection,Box_NY_0.024SBS_102_4.390625-4.390625-12,,,,in,,4.359375,Width,,Box Inspection,"FDA,5"
5BU26595,,4.421875,Box Inspection,Box_NY_0.024SBS_102_4.390625-4.390625-12,,,,in,,4.359375,Length,,Box Inspection,"FDA,5"
5BU26595,,12.03125,Box Inspection,Box_NY_0.024SBS_102_4.390625-4.390625-12,,,,in,,11.96875,Height,,Box Inspection,"FDA,5"
5BU26595,,,Box Inspection,Box_NY_0.024SBS_102_4.390625-4.390625-12,,,Meets specifications,in,,,Artwork / Copy,,Box Inspection,
5BU26595,,,Box Inspection,Box_NY_0.024SBS_102_4.390625-4.390625-12,,,SBS,,,,Carton Material,,Box Inspection,
5BU26595,,,Box Inspection,Box_NY_0.024SBS_102_4.390625-4.390625-12,,,Tuck Top / Auto Bottom Dispenser Box,,,,Carton Style,,Box Inspection,
5BU27500,,0.025,Box Inspection,Box_NY_0.024SBS_102_4.3906-4.3906-12,,,,in,,0.023,Caliper,,TM102,"FDA,3"
5BU27500,,4.421875,Box Inspection,Box_NY_0.024SBS_102_4.3906-4.3906-12,,,,in,,4.359375,Length,,Box Inspection,"FDA,5"
5BU27500,,4.421875,Box Inspection,Box_NY_0.024SBS_102_4.3906-4.3906-12,,,,in,,4.359375,Width,,Box Inspection,"FDA,5"
5BU27500,,12.03125,Box Inspection,Box_NY_0.024SBS_102_4.3906-4.3906-12,,,,in,,11.96875,Height,,Box Inspection,"FDA,5"
5BU27500,,,Box Inspection,Box_NY_0.024SBS_102_4.3906-4.3906-12,,,Meets specifications,in,,,Artwork / Copy,,Box Inspection,
5BU27500,,,Box Inspection,Box_NY_0.024SBS_102_4.3906-4.3906-12,,,SBS,,,,Carton Material,,Box Inspection,
5BU27500,,,Box Inspection,Box_NY_0.024SBS_102_4.3906-4.3906-12,,,Tuck Top / Auto Bottom Dispenser Box,,,,Carton Style,,Box Inspection,
5BU37230,,0.019,Box Inspection,Box_NY_0.018SBS_101_3.8125-3.375-2.9375,,,,in,,0.017,Caliper,,TM102,"FDA,3"
5BU37230,,2.96875,Box Inspection,Box_NY_0.018SBS_101_3.8125-3.375-2.9375,,,,in,,2.90625,Height,,Box Inspection,"FDA,5"
5BU37230,,3.40625,Box Inspection,Box_NY_0.018SBS_101_3.8125-3.375-2.9375,,,,in,,3.34375,Width,,Box Inspection,"FDA,5"
