Mat_MatCode,METHOD,Analyte,Component,Res_Units,Numeric_Result,Low_Release_Limit,High_Release_Limit,Rounding_Rule,SP_TestPlan
5CA284TR,Box Inspection,Box Inspection,Height,in,,3.65625,3.71875,"FDA,5",Box_NY_0.018SBS_111_6-5.3125-3.6875
5CA284TR,Box Inspection,Box Inspection,Width,in,,5.28125,5.34375,"FDA,5",Box_NY_0.018SBS_111_6-5.3125-3.6875
5CA284TR,Box Inspection,Box Inspection,Length,in,,5.96875,6.03125,"FDA,5",Box_NY_0.018SBS_111_6-5.3125-3.6875
5CA284TR,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_NY_0.018SBS_111_6-5.3125-3.6875
5CA284TR,Box Inspection,Box Inspection,Carton Material,,SBS,,,,Box_NY_0.018SBS_111_6-5.3125-3.6875
5CA284TR,Box Inspection,Box Inspection,Carton Style,,Tuck Top / Auto Bottom French Style w/Perfs,,,,Box_NY_0.018SBS_111_6-5.3125-3.6875
5CB19600,TM102,Box Inspection,Caliper,in,,0.017,0.019,"FDA,3",Box_NY_0.018SBS_100_5.125-2.25-2.09375
5CB19600,Box Inspection,Box Inspection,Height,in,,2.0625,2.125,"FDA,5",Box_NY_0.018SBS_100_5.125-2.25-2.09375
5CB19600,Box Inspection,Box Inspection,Width,in,,2.21875,2.28125,"FDA,5",Box_NY_0.018SBS_100_5.125-2.25-2.09375
5CB19600,Box Inspection,Box Inspection,Length,in,,5.09375,5.15625,"FDA,5",Box_NY_0.018SBS_100_5.125-2.25-2.09375
5CB19600,AQL,Box Inspection,AQL Sample Size,,,,,"FDA,0",Box_NY_0.018SBS_100_5.125-2.25-2.09375
5CB19600,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_NY_0.018SBS_100_5.125-2.25-2.09375
5CB19600,Box Inspection,Box Inspection,Carton Material,,SBS,,,,Box_NY_0.018SBS_100_5.125-2.25-2.09375
5CB19600,Box Inspection,Box Inspection,Carton Style,,Tuck Top / Auto Bottom,,,,Box_NY_0.018SBS_100_5.125-2.25-2.09375
5CB51200,TM102,Box Inspection,Caliper,in,,0.015,0.017,"FDA,3",Box_NY_0.016UCSBS_100_6.125-2.75-2.375
5CB51200,Box Inspection,Box Inspection,Height,in,,2.34375,2.40625,"FDA,5",Box_NY_0.016UCSBS_100_6.125-2.75-2.375
5CB51200,Box Inspection,Box Inspection,Width,in,,2.71875,2.78125,"FDA,5",Box_NY_0.016UCSBS_100_6.125-2.75-2.375
5CB51200,Box Inspection,Box Inspection,Length,in,,6.09375,6.15625,"FDA,5",Box_NY_0.016UCSBS_100_6.125-2.75-2.375
5CB51200,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_NY_0.016UCSBS_100_6.125-2.75-2.375
5CB51200,Box Inspection,Box Inspection,Carton Style,,Tuck Top / Auto Bottom,,,,Box_NY_0.016UCSBS_100_6.125-2.75-2.375
5CB51200,Box Inspection,Box Inspection,Carton Material,,UCSBS,,,,Box_NY_0.016UCSBS_100_6.125-2.75-2.375
5CC80100,TM102,Box Inspection,Caliper,in,,0.015,0.017,"FDA,3",Box_NY_0.016UCSBS_100_5.0625-1.75-3.0625
5CC80100,Box Inspection,Box Inspection,Width,in,,1.71875,1.78125,"FDA,5",Box_NY_0.016UCSBS_100_5.0625-1.75-3.0625
5CC80100,Box Inspection,Box Inspection,Height,in,,3.03125,3.09375,"FDA,5",Box_NY_0.016UCSBS_100_5.0625-1.75-3.0625
5CC80100,Box Inspection,Box Inspection,Length,in,,5.03125,5.09375,"FDA,5",Box_NY_0.016UCSBS_100_5.0625-1.75-3.0625
5CC80100,AQL,Box Inspection,AQL Sample Size,,,,,"FDA,0",Box_NY_0.016UCSBS_100_5.0625-1.75-3.0625
5CC80100,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_NY_0.016UCSBS_100_5.0625-1.75-3.0625
5CC80100,Box Inspection,Box Inspection,Carton Style,,Tuck Top / Auto Bottom,,,,Box_NY_0.016UCSBS_100_5.0625-1.75-3.0625
5CC80100,Box Inspection,Box Inspection,Carton Material,,UCSBS,,,,Box_NY_0.016UCSBS_100_5.0625-1.75-3.0625
5CD35185,TM102,Box Inspection,Caliper,in,,0.015,0.017,"FDA,3",Box_NY_0.016UCSBS_100_6.5-2.3125-6.0625
5CD35185,Box Inspection,Box Inspection,Width,in,,2.28125,2.34375,"FDA,5",Box_NY_0.016UCSBS_100_6.5-2.3125-6.0625
5CD35185,Box Inspection,Box Inspection,Height,in,,6.03125,6.09375,"FDA,5",Box_NY_0.016UCSBS_100_6.5-2.3125-6.0625
5CD35185,Box Inspection,Box Inspection,Length,in,,6.46875,6.53125,"FDA,5",Box_NY_0.016UCSBS_100_6.5-2.3125-6.0625
5CD35185,AQL,Box Inspection,AQL Sample Size,,,,,"FDA,0",Box_NY_0.016UCSBS_100_6.5-2.3125-6.0625
5CD35185,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_NY_0.016UCSBS_100_6.5-2.3125-6.0625
5CD35185,Box Inspection,Box Inspection,Carton Style,,Tuck Top / Auto Bottom,,,,Box_NY_0.016UCSBS_100_6.5-2.3125-6.0625
5CD35185,Box Inspection,Box Inspection,Carton Material,,UCSBS,,,,Box_NY_0.016UCSBS_100_6.5-2.3125-6.0625
5CS42050,TM102,Box Inspection,Caliper,in,,0.015,0.017,"FDA,3",Box_NY_0.016UCSBS_100_6.5-3.3125-5.8125
5CS42050,Box Inspection,Box Inspection,Width,in,,3.28125,3.34375,"FDA,5",Box_NY_0.016UCSBS_100_6.5-3.3125-5.8125
5CS42050,Box Inspection,Box Inspection,Height,in,,5.78125,5.84375,"FDA,5",Box_NY_0.016UCSBS_100_6.5-3.3125-5.8125
5CS42050,Box Inspection,Box Inspection,Length,in,,6.46875,6.53125,"FDA,5",Box_NY_0.016UCSBS_100_6.5-3.3125-5.8125
5CS42050,AQL,Box Inspection,AQL Sample Size,,,,,"FDA,0",Box_NY_0.016UCSBS_100_6.5-3.3125-5.8125
5CS42050,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_NY_0.016UCSBS_100_6.5-3.3125-5.8125
5CS42050,Box Inspection,Box Inspection,Carton Style,,Tuck Top / Auto Bottom,,,,Box_NY_0.016UCSBS_100_6.5-3.3125-5.8125
5CS42050,Box Inspection,Box Inspection,Carton Material,,UCSBS,,,,Box_NY_0.016UCSBS_100_6.5-3.3125-5.8125
5DA941TY,TM102,Box Inspection,Caliper,in,,0.023,0.025,"FDA,3",Box_NY_0.024WCK_111_5.25-6.25-8.625/3.5
5DA941TY,Box Inspection,Box Inspection,Front Height,in,,3.46875,3.53125,"FDA,5",Box_NY_0.024WCK_111_5.25-6.25-8.625/3.5
5DA941TY,Box Inspection,Box Inspection,Length,in,,5.21875,5.28125,"FDA,5",Box_NY_0.024WCK_111_5.25-6.25-8.625/3.5
5DA941TY,Box Inspection,Box Inspection,Width,in,,6.21875,6.28125,"FDA,5",Box_NY_0.024WCK_111_5.25-6.25-8.625/3.5
5DA941TY,Box Inspection,Box Inspection,Back Height,in,,8.59375,8.65625,"FDA,5",Box_NY_0.024WCK_111_5.25-6.25-8.625/3.5
5DA941TY,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_NY_0.024WCK_111_5.25-6.25-8.625/3.5
5DA941TY,Box Inspection,Box Inspection,Carton Style,,Tuck Top / Auto Bottom French Style w/Perfs,,,,Box_NY_0.024WCK_111_5.25-6.25-8.625/3.5
5DA941TY,Box Inspection,Box Inspection,Carton Material,,WCK,,,,Box_NY_0.024WCK_111_5.25-6.25-8.625/3.5
5DH12824,TM102,Box Inspection,Caliper,in,,0.017,0.019,"FDA,3",Box_NY_0.018SBS_100_4-2.125-6.125
5DH12824,Box Inspection,Box Inspection,Width,in,,2.09375,2.15625,"FDA,5",Box_NY_0.018SBS_100_4-2.125-6.125
5DH12824,Box Inspection,Box Inspection,Length,in,,3.96875,4.03125,"FDA,5",Box_NY_0.018SBS_100_4-2.125-6.125
5DH12824,Box Inspection,Box Inspection,Height,in,,6.09375,6.15625,"FDA,5",Box_NY_0.018SBS_100_4-2.125-6.125
5DH12824,AQL,Box Inspection,AQL Sample Size,,,,,"FDA,0",Box_NY_0.018SBS_100_4-2.125-6.125
5DH12824,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_NY_0.018SBS_100_4-2.125-6.125
5DH12824,Box Inspection,Box Inspection,Carton Material,,SBS,,,,Box_NY_0.018SBS_100_4-2.125-6.125
5DH12824,Box Inspection,Box Inspection,Carton Style,,Tuck Top / Auto Bottom,,,,Box_NY_0.018SBS_100_4-2.125-6.125
5EH21130,TM102,Box Inspection,Caliper,in,,0.015,0.017,"FDA,3",Box_NY_0.016SBS_100_4.75-2.375-3.25
5EH21130,COA,Box Inspection,Width,in,,2.34375,2.40625,"FDA,5",Box_NY_0.016SBS_100_4.75-2.375-3.25
5EH21130,Box Inspection,Box Inspection,Height,in,,3.21875,3.28125,"FDA,5",Box_NY_0.016SBS_100_4.75-2.375-3.25
5EH21130,Box Inspection,Box Inspection,Length,in,,4.71875,4.78125,"FDA,5",Box_NY_0.016SBS_100_4.75-2.375-3.25
5EH21130,AQL,Box Inspection,AQL Sample Size,,,,,"FDA,0",Box_NY_0.016SBS_100_4.75-2.375-3.25
5EH21130,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_NY_0.016SBS_100_4.75-2.375-3.25
5EH21130,Box Inspection,Box Inspection,Carton Material,,SBS,,,,Box_NY_0.016SBS_100_4.75-2.375-3.25
5EH21130,Box Inspection,Box Inspection,Carton Style,,Tuck Top / Auto Bottom,,,,Box_NY_0.016SBS_100_4.75-2.375-3.25
5FD41900,COA,Certificate of Analysis,Certificate of Analysis,,CofA meets specifications,,,,Box_NY_0.016UCSBS_100_6.5-2.3125-6.0625
5FH07050,TM102,Box Inspection,Caliper,in,,0.019,0.021,"FDA,3",Box_NY_0.020SBS_125_6.125-2.4375-6.015625
5FH07050,Box Inspection,Box Inspection,Width,in,,2.40625,2.46875,"FDA,5",Box_NY_0.020SBS_125_6.125-2.4375-6.015625
5FH07050,Box Inspection,Box Inspection,Height,in,,5.984375,6.046875,"FDA,5",Box_NY_0.020SBS_125_6.125-2.4375-6.015625
5FH07050,Box Inspection,Box Inspection,Length,in,,6.09375,6.15625,"FDA,5",Box_NY_0.020SBS_125_6.125-2.4375-6.015625
5FH07050,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_NY_0.020SBS_125_6.125-2.4375-6.015625
5FH07050,Box Inspection,Box Inspection,Carton Material,,SBS,,,,Box_NY_0.020SBS_125_6.125-2.4375-6.015625
5FH07050,Box Inspection,Box Inspection,Carton Style,,"Straight Tuck End w/Glued Internal Dividers&15/16"" Dummy Platform Bottom",,,,Box_NY_0.020SBS_125_6.125-2.4375-6.015625
5GB10300,TM102,Box Inspection,Caliper,in,,0.015,0.017,"FDA,3",Box_NY_0.016UCSBS_100_6.125-2.750-2.375
5GB10300,Box Inspection,Box Inspection,Height,in,,2.34375,2.40625,"FDA,5",Box_NY_0.016UCSBS_100_6.125-2.750-2.375
5GB10300,Box Inspection,Box Inspection,Width,in,,2.71875,2.78125,"FDA,5",Box_NY_0.016UCSBS_100_6.125-2.750-2.375
5GB10300,Box Inspection,Box Inspection,Length,in,,6.09375,6.15625,"FDA,5",Box_NY_0.016UCSBS_100_6.125-2.750-2.375
5GB10300,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_NY_0.016UCSBS_100_6.125-2.750-2.375
5GB10300,Box Inspection,Box Inspection,Carton Style,,Tuck Top / Auto Bottom,,,,Box_NY_0.016UCSBS_100_6.125-2.750-2.375
5GB10300,Box Inspection,Box Inspection,Carton Material,,UCSBS,,,,Box_NY_0.016UCSBS_100_6.125-2.750-2.375
5HC12400,TM102,Box Inspection,Caliper,in,,0.015,0.017,"FDA,3",Box_NY_0.016UCSBS_100_5.0625-4.25-3.0625
5HC12400,Box Inspection,Box Inspection,Height,in,,3.03125,3.09375,"FDA,5",Box_NY_0.016UCSBS_100_5.0625-4.25-3.0625
5HC12400,Box Inspection,Box Inspection,Width,in,,4.21875,4.28125,"FDA,5",Box_NY_0.016UCSBS_100_5.0625-4.25-3.0625
5HC12400,Box Inspection,Box Inspection,Length,in,,5.03125,5.09375,"FDA,5",Box_NY_0.016UCSBS_100_5.0625-4.25-3.0625
5HC12400,AQL,Box Inspection,AQL Sample Size,,,,,"FDA,0",Box_NY_0.016UCSBS_100_5.0625-4.25-3.0625
5HC12400,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_NY_0.016UCSBS_100_5.0625-4.25-3.0625
5HC12400,Box Inspection,Box Inspection,Carton Style,,Tuck Top / Auto Bottom,,,,Box_NY_0.016UCSBS_100_5.0625-4.25-3.0625
5HC12400,Box Inspection,Box Inspection,Carton Material,,UCSBS,,,,Box_NY_0.016UCSBS_100_5.0625-4.25-3.0625
5HC22324,TM102,Box Inspection,Caliper,in,,0.019,0.021,"FDA,3",Box_NY_0.020WCCN_100_5.0625-1.75-3.0625
5HC22324,Box Inspection,Box Inspection,Width,in,,1.71875,1.78125,"FDA,5",Box_NY_0.020WCCN_100_5.0625-1.75-3.0625
5HC22324,Box Inspection,Box Inspection,Height,in,,3.03125,3.09375,"FDA,5",Box_NY_0.020WCCN_100_5.0625-1.75-3.0625
5HC22324,Box Inspection,Box Inspection,Length,in,,5.03125,5.09375,"FDA,5",Box_NY_0.020WCCN_100_5.0625-1.75-3.0625
5HC22324,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_NY_0.020WCCN_100_5.0625-1.75-3.0625
5HC22324,Box Inspection,Box Inspection,Carton Style,,Tuck Top / Auto Bottom,,,,Box_NY_0.020WCCN_100_5.0625-1.75-3.0625
5HC22324,Box Inspection,Box Inspection,Carton Material,,WCCN,,,,Box_NY_0.020WCCN_100_5.0625-1.75-3.0625
5JB16400,TM102,Box Inspection,Caliper,in,,0.015,0.017,"FDA,3",Box_NY_0.016UCSBS_100_4-3.125-2.375
5JB16400,Box Inspection,Box Inspection,Height,in,,2.34375,2.40625,"FDA,5",Box_NY_0.016UCSBS_100_4-3.125-2.375
5JB16400,Box Inspection,Box Inspection,Width,in,,3.09375,3.15625,"FDA,5",Box_NY_0.016UCSBS_100_4-3.125-2.375
5JB16400,Box Inspection,Box Inspection,Length,in,,3.96875,4.03125,"FDA,5",Box_NY_0.016UCSBS_100_4-3.125-2.375
5JB16400,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_NY_0.016UCSBS_100_4-3.125-2.375
5JB16400,Box Inspection,Box Inspection,Carton Style,,Tuck Top / Auto Bottom,,,,Box_NY_0.016UCSBS_100_4-3.125-2.375
5JB16400,Box Inspection,Box Inspection,Carton Material,,UCSBS,,,,Box_NY_0.016UCSBS_100_4-3.125-2.375
5LB60302,TM102,Box Inspection,Caliper,in,,0.015,0.017,"FDA,3",Box_NY_0.016UCSBS_100_6.125-4-2.375
5LB60302,Box Inspection,Box Inspection,Height,in,,2.34375,2.40625,"FDA,5",Box_NY_0.016UCSBS_100_6.125-4-2.375
5LB60302,Box Inspection,Box Inspection,Width,in,,3.96875,4.03125,"FDA,5",Box_NY_0.016UCSBS_100_6.125-4-2.375
5LB60302,Box Inspection,Box Inspection,Length,in,,6.09375,6.15625,"FDA,5",Box_NY_0.016UCSBS_100_6.125-4-2.375
5LB60302,AQL,Box Inspection,AQL Sample Size,,,,,"FDA,0",Box_NY_0.016UCSBS_100_6.125-4-2.375
5LB60302,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_NY_0.016UCSBS_100_6.125-4-2.375
5LB60302,Box Inspection,Box Inspection,Carton Style,,Tuck Top / Auto Bottom,,,,Box_NY_0.016UCSBS_100_6.125-4-2.375
5LB60302,Box Inspection,Box Inspection,Carton Material,,UCSBS,,,,Box_NY_0.016UCSBS_100_6.125-4-2.375
5NB40600,TM102,Box Inspection,Caliper,in,,0.015,0.017,"FDA,3",Box_NY_0.016UCSBS_100_5.125-2.25-2.09375
5NB40600,Box Inspection,Box Inspection,Height,in,,2.0625,2.125,"FDA,5",Box_NY_0.016UCSBS_100_5.125-2.25-2.09375
5NB40600,Box Inspection,Box Inspection,Width,in,,2.21875,2.28125,"FDA,5",Box_NY_0.016UCSBS_100_5.125-2.25-2.09375
5NB40600,Box Inspection,Box Inspection,Length,in,,5.09375,5.15625,"FDA,5",Box_NY_0.016UCSBS_100_5.125-2.25-2.09375
5NB40600,AQL,Box Inspection,AQL Sample Size,,,,,"FDA,0",Box_NY_0.016UCSBS_100_5.125-2.25-2.09375
5NB40600,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_NY_0.016UCSBS_100_5.125-2.25-2.09375
5NB40600,Box Inspection,Box Inspection,Carton Style,,Tuck Top / Auto Bottom,,,,Box_NY_0.016UCSBS_100_5.125-2.25-2.09375
5NB40600,Box Inspection,Box Inspection,Carton Material,,UCSBS,,,,Box_NY_0.016UCSBS_100_5.125-2.25-2.09375
5NU87250,TM102,Box Inspection,Caliper,in,,0.023,0.025,"FDA,3",Box_NY_0.024SBS_127_4.375-4.375-12
5NU87250,Box Inspection,Box Inspection,Length,in,,4.34375,4.40625,"FDA,5",Box_NY_0.024SBS_127_4.375-4.375-12
5NU87250,Box Inspection,Box Inspection,Width,in,,4.34375,4.40625,"FDA,5",Box_NY_0.024SBS_127_4.375-4.375-12
5NU87250,Box Inspection,Box Inspection,Height,in,,11.96875,12.03125,"FDA,5",Box_NY_0.024SBS_127_4.375-4.375-12
5NU87250,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_NY_0.024SBS_127_4.375-4.375-12
5NU87250,Box Inspection,Box Inspection,Carton Material,,SBS,,,,Box_NY_0.024SBS_127_4.375-4.375-12
5NU87250,Box Inspection,Box Inspection,Carton Style,,Tuck Top / Auto Bottom Dispenser Box,,,,Box_NY_0.024SBS_127_4.375-4.375-12
5OD125PB,TM102,Box Inspection,Caliper,in,,0.0005,0.0025,"FDA,4",Box_80A
5OD125PB,Box Inspection,Box Inspection,Outside Flap,in,,2.21875,2.28125,"FDA,5",Box_80A
5OD125PB,Box Inspection,Box Inspection,Length,in,,6.0625,6.5,"FDA,5",Box_80A
5OD125PB,Box Inspection,Box Inspection,Width,in,,8.25,8.5,"FDA,5",Box_80A
5OD125PB,Box Inspection,Box Inspection,Carton Material,,LDPE,,,,Box_80A
5OD125PB,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_80A
5OD125PB,Box Inspection,Box Inspection,Carton Style,,Poly Bag w/fold over top on 4” wicketts,,,,Box_80A
5OD239PD,TM102,Box Inspection,Caliper,in,,,,"FDA,3",Box_51A
5OD239PD,Box Inspection,Box Inspection,Width,in,,5.46875,5.53125,"FDA,5",Box_51A
5OD239PD,Box Inspection,Box Inspection,Length,in,,15.34375,15.40625,"FDA,5",Box_51A
5OD239PD,Box Inspection,Box Inspection,Carton Material,,Chip Board,,,,Box_51A
5OD239PD,Box Inspection,Box Inspection,Carton Style,,Layer Pad,,,,Box_51A
5OD239PD,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_51A
5OH382PD,TM102,Box Inspection,Caliper,in,,,,"FDA,3",Box_50D
5OH382PD,Box Inspection,Box Inspection,Width,in,,9.46875,9.53125,"FDA,5",Box_50D
5OH382PD,Box Inspection,Box Inspection,Length,in,,11.59375,11.65625,"FDA,5",Box_50D
5OH382PD,Box Inspection,Box Inspection,Carton Material,,Any Board,,,,Box_50D
5OH382PD,Box Inspection,Box Inspection,Carton Style,,Cut Pad,,,,Box_50D
5OH382PD,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_50D
5OP067BT,TM102,Box Inspection,Caliper,in,,0.015,0.017,"FDA,3",Box_NY_0.016SBSC1S_300_3.18-2.1875-2.4375
5OP067BT,Box Inspection,Box Inspection,Width,in,,2.15625,2.21875,"FDA,5",Box_NY_0.016SBSC1S_300_3.18-2.1875-2.4375
5OP067BT,Box Inspection,Box Inspection,Height,in,,2.40625,2.46875,"FDA,5",Box_NY_0.016SBSC1S_300_3.18-2.1875-2.4375
5OP067BT,Box Inspection,Box Inspection,Length,in,,3.14875,3.21125,"FDA,5",Box_NY_0.016SBSC1S_300_3.18-2.1875-2.4375
5OP067BT,AQL,Box Inspection,AQL Sample Size,,,,,"FDA,0",Box_NY_0.016SBSC1S_300_3.18-2.1875-2.4375
5OP067BT,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_NY_0.016SBSC1S_300_3.18-2.1875-2.4375
5OP067BT,Box Inspection,Box Inspection,Carton Style,,Open Top/Tuck Bottom,,,,Box_NY_0.016SBSC1S_300_3.18-2.1875-2.4375
5OP067BT,Box Inspection,Box Inspection,Carton Material,,SBS C1S,,,,Box_NY_0.016SBSC1S_300_3.18-2.1875-2.4375
5OP073BT,TM102,Box Inspection,Caliper,in,,0.015,0.017,"FDA,3",Box_NY_0.016SBSC1S_300_3.125-2.1875-2.4375
5OP073BT,Box Inspection,Box Inspection,Width,in,,2.15625,2.21875,"FDA,5",Box_NY_0.016SBSC1S_300_3.125-2.1875-2.4375
5OP073BT,Box Inspection,Box Inspection,Height,in,,2.40625,2.46875,"FDA,5",Box_NY_0.016SBSC1S_300_3.125-2.1875-2.4375
5OP073BT,Box Inspection,Box Inspection,Length,in,,3.14875,3.21125,"FDA,5",Box_NY_0.016SBSC1S_300_3.125-2.1875-2.4375
5OP073BT,AQL,Box Inspection,AQL Sample Size,,,,,"FDA,0",Box_NY_0.016SBSC1S_300_3.125-2.1875-2.4375
5OP073BT,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_NY_0.016SBSC1S_300_3.125-2.1875-2.4375
5OP073BT,Box Inspection,Box Inspection,Carton Style,,Open Top/Tuck Bottom,,,,Box_NY_0.016SBSC1S_300_3.125-2.1875-2.4375
5OP073BT,Box Inspection,Box Inspection,Carton Material,,SBS C1S,,,,Box_NY_0.016SBSC1S_300_3.125-2.1875-2.4375
5OP092BT,TM102,Box Inspection,Caliper,in,,0.015,0.017,"FDA,3",Box_NY_0.016SBSC1S_300_3.18-1.4375-2.6875
5OP092BT,Box Inspection,Box Inspection,Width,in,,1.40625,1.46875,"FDA,5",Box_NY_0.016SBSC1S_300_3.18-1.4375-2.6875
5OP092BT,Box Inspection,Box Inspection,Height,in,,2.65625,2.71875,"FDA,5",Box_NY_0.016SBSC1S_300_3.18-1.4375-2.6875
5OP092BT,Box Inspection,Box Inspection,Length,in,,3.14875,3.21125,"FDA,5",Box_NY_0.016SBSC1S_300_3.18-1.4375-2.6875
5OP092BT,AQL,Box Inspection,AQL Sample Size,,,,,"FDA,0",Box_NY_0.016SBSC1S_300_3.18-1.4375-2.6875
5OP092BT,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_NY_0.016SBSC1S_300_3.18-1.4375-2.6875
5OP092BT,Box Inspection,Box Inspection,Carton Style,,Open Top/Tuck Bottom,,,,Box_NY_0.016SBSC1S_300_3.18-1.4375-2.6875
5OP092BT,Box Inspection,Box Inspection,Carton Material,,SBS C1S,,,,Box_NY_0.016SBSC1S_300_3.18-1.4375-2.6875
5OP092PB,Box Inspection,Box Inspection,Gussett,in,,3.6875,4.3125,"FDA,5",Box_NY_LDPE_407_13.5-6.5-6-4
5OP092PB,Box Inspection,Box Inspection,Back Flip,in,,5.6875,6.3125,"FDA,5",Box_NY_LDPE_407_13.5-6.5-6-4
5OP092PB,Box Inspection,Box Inspection,Height,in,,6.1875,6.8125,"FDA,5",Box_NY_LDPE_407_13.5-6.5-6-4
5OP092PB,Box Inspection,Box Inspection,Width,in,,13.1875,13.8125,"FDA,5",Box_NY_LDPE_407_13.5-6.5-6-4
5OP092PB,AQL,Box Inspection,AQL Sample Size,,,,,"FDA,0",Box_NY_LDPE_407_13.5-6.5-6-4
5OP092PB,Box Inspection,Box Inspection,Carton Material,,LDPE,,,,Box_NY_LDPE_407_13.5-6.5-6-4
5OP092PB,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_NY_LDPE_407_13.5-6.5-6-4
5OP092PB,Box Inspection,Box Inspection,Carton Style,,Poly Bag w/fold over top on 2” wicketts,,,,Box_NY_LDPE_407_13.5-6.5-6-4
5OP308PD,TM102,Box Inspection,Caliper,in,,0.018,0.02,"FDA,3",Box_50C
5OP308PD,Box Inspection,Box Inspection,Length,in,,6.96875,7.03125,"FDA,5",Box_50C
5OP308PD,Box Inspection,Box Inspection,Width,in,,12.21875,12.28125,"FDA,5",Box_50C
5OP308PD,Box Inspection,Box Inspection,Carton Material,,Chip Board,,,,Box_50C
5OP308PD,Box Inspection,Box Inspection,Carton Style,,Cut Pad,,,,Box_50C
5OP308PD,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_50C
5PB114IS,Box Inspection,Box Inspection,Length,in,,2.46875,2.53125,"FDA,5",Box_NY_NA50#_402_2.5-3.25
5PB114IS,Box Inspection,Box Inspection,Width,in,,3.21875,3.28125,"FDA,5",Box_NY_NA50#_402_2.5-3.25
5PB114IS,AQL,Box Inspection,AQL Sample Size,,,,,"FDA,0",Box_NY_NA50#_402_2.5-3.25
5PB114IS,Box Inspection,Box Inspection,Carton Material,,50# White Paper Stock,,,,Box_NY_NA50#_402_2.5-3.25
5PB114IS,Box Inspection,Box Inspection,Carton Style,,Insert,,,,Box_NY_NA50#_402_2.5-3.25
5PB114IS,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_NY_NA50#_402_2.5-3.25
5PS40750,TM102,Box Inspection,Caliper,in,,0.017,0.019,"FDA,3",Box_NY_0.018SBS_100_7.125-3-6.625
5PS40750,Box Inspection,Box Inspection,Width,in,,2.96875,3.03125,"FDA,5",Box_NY_0.018SBS_100_7.125-3-6.625
5PS40750,Box Inspection,Box Inspection,Height,in,,6.59375,6.65625,"FDA,5",Box_NY_0.018SBS_100_7.125-3-6.625
5PS40750,Box Inspection,Box Inspection,Length,in,,7.09375,7.15625,"FDA,5",Box_NY_0.018SBS_100_7.125-3-6.625
5PS40750,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_NY_0.018SBS_100_7.125-3-6.625
5PS40750,Box Inspection,Box Inspection,Carton Material,,SBS,,,,Box_NY_0.018SBS_100_7.125-3-6.625
5PS40750,Box Inspection,Box Inspection,Carton Style,,Tuck Top / Auto Bottom,,,,Box_NY_0.018SBS_100_7.125-3-6.625
5QS273IS,Box Inspection,Box Inspection,Width,in,,3.21875,3.28125,"FDA,5",Box_NY_NA50#_402_5-3.25
5QS273IS,Box Inspection,Box Inspection,Length,in,,4.96875,5.03125,"FDA,5",Box_NY_NA50#_402_5-3.25
5QS273IS,AQL,Box Inspection,AQL Sample Size,,,,,"FDA,0",Box_NY_NA50#_402_5-3.25
5QS273IS,Box Inspection,Box Inspection,Carton Material,,50# White Paper Stock,,,,Box_NY_NA50#_402_5-3.25
5QS273IS,Box Inspection,Box Inspection,Carton Style,,Insert,,,,Box_NY_NA50#_402_5-3.25
5QS273IS,Box Inspection,Box Inspection,Artwork / Copy,in,Meets specifications,,,,Box_NY_NA50#_402_5-3.25
5QS41950,TM102,Box Inspection,Caliper,in,,0.017,0.019,"FDA,3",Box_NY_0.018SBS_100_6.625-4.125-8.125
5QS41950,Box Inspection,Box Inspection,Width,in,,4.09375,4.15625,"FDA,5",Box_NY_0.018SBS_100_6.625-4.125-8.125
